address,city,state,source,city_id,image_name,image_url,lon,lat,date,sq_ft,year_built,assessed_value
2094 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2094_JAMESTOWN_AVE,,-91.8891103,42.4837691,,,,
1403 6TH AVE NE,Independence,Iowa,V,D,V_D_1403_6TH_AVE_NE,,-91.8881948,42.4839375,,,,
1500 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1500_NORTH_RIDGE_CT_NE,,-91.8886907,42.483891,,,,
1402 6TH AVE NE,Independence,Iowa,V,D,V_D_1402_6TH_AVE_NE,,-91.887451,42.4839306,,,,
1501 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1501_NORTH_RIDGE_CT_NE,,-91.889034,42.4841921,,,,
1500 6TH AVE NE,Independence,Iowa,V,D,V_D_1500_6TH_AVE_NE,,-91.8874319,42.4841801,,,,
1502 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1502_NORTH_RIDGE_CT_NE,,-91.8883665,42.4842222,,,,
1503 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1503_NORTH_RIDGE_CT_NE,,-91.889034,42.4844221,,,,
502 14TH ST NE,Independence,Iowa,V,D,V_D_502_14TH_ST_NE,,-91.8886526,42.4835849,,,,
504 14TH ST NE,Independence,Iowa,V,D,V_D_504_14TH_ST_NE,,-91.8883093,42.4836289,,,,
600 14TH ST NE,Independence,Iowa,V,D,V_D_600_14TH_ST_NE,,-91.8876036,42.4836213,,,,
602 14TH ST NE,Independence,Iowa,V,D,V_D_602_14TH_ST_NE,,-91.8872031,42.4836087,,,,
1501 6TH AVE NE,Independence,Iowa,V,D,V_D_1501_6TH_AVE_NE,,-91.8880423,42.4842084,,,,
1502 6TH AVE NE,Independence,Iowa,V,D,V_D_1502_6TH_AVE_NE,,-91.887451,42.4844673,,,,
1504 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1504_NORTH_RIDGE_CT_NE,,-91.8884619,42.4845849,,,,
1503 6TH AVE NE,Independence,Iowa,V,D,V_D_1503_6TH_AVE_NE,,-91.887985,42.4846119,,,,
1504 6TH AVE NE,Independence,Iowa,V,D,V_D_1504_6TH_AVE_NE,,-91.8873747,42.4846986,,,,
1501 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1501_NORTH_RIDGE_CT_NE,,-91.889034,42.4841921,,,,
1506 NORTH RIDGE CT NE,Independence,Iowa,V,D,V_D_1506_NORTH_RIDGE_CT_NE,,-91.8884619,42.4849299,,,,
1505 6TH AVE NE,Independence,Iowa,V,D,V_D_1505_6TH_AVE_NE,,-91.8880613,42.4849173,,,,
1506 6TH AVE NE,Independence,Iowa,V,D,V_D_1506_6TH_AVE_NE,,-91.8873938,42.4849858,,,,
1803 8TH AVE NE,Independence,Iowa,V,D,V_D_1803_8TH_AVE_NE,,-91.884922,42.487719,,,,
2089 KENTUCKY AVE,Independence,Iowa,V,D,V_D_2089_KENTUCKY_AVE,,-91.885827,42.484452,,,,
1508 6TH AVE NE,Independence,Iowa,V,D,V_D_1508_6TH_AVE_NE,,-91.8874319,42.4852535,,,,
502 16TH ST NE,Independence,Iowa,V,D,V_D_502_16TH_ST_NE,,-91.8887289,42.4854623,,,,
504 16TH ST NE,Independence,Iowa,V,D,V_D_504_16TH_ST_NE,,-91.8883474,42.4854302,,,,
506 16TH ST NE,Independence,Iowa,V,D,V_D_506_16TH_ST_NE,,-91.8880804,42.4854346,,,,
1510 6TH AVE NE,Independence,Iowa,V,D,V_D_1510_6TH_AVE_NE,,-91.8876799,42.4854603,,,,
2082 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2082_JAMESTOWN_AVE,,-91.888876,42.485893,,,,
2083 KENTUCKY AVE,Independence,Iowa,V,D,V_D_2083_KENTUCKY_AVE,,-91.8851433,42.4859811,,,,
2081 KENTUCKY AVE,Independence,Iowa,V,D,V_D_2081_KENTUCKY_AVE,,-91.8866691,42.4862628,,,,
2079 KENTUCKY AVE,Independence,Iowa,V,D,V_D_2079_KENTUCKY_AVE,,-91.8862304,42.4867109,,,,
2077 KENTUCKY AVE,Independence,Iowa,V,D,V_D_2077_KENTUCKY_AVE,,-91.8856392,42.4869698,,,,
1801 8TH AVE NE,Independence,Iowa,V,D,V_D_1801_8TH_AVE_NE,,-91.8848763,42.4874806,,,,
2070 JAMESTOWN AVE,Independence,Iowa,V,D,V_D_2070_JAMESTOWN_AVE,,-91.8889005,42.4875104,,,,
