address,city,state,source,city_id,image_url,lon,lat,,clear_image,test_failed,failed_correct,rand_select,vegetation,vegetation_confidence,correct_vegetation,siding,siding_confidence,correct_siding,gutter,gutter_confidence,correct_gutter,roof,roof_confidence,correct_roof,img_used,Comment on Accuracy,,avg_vegetation_confidence,avg_siding_confidence,avg_gutter_confidence,avg_roof_confidence,avg_vegetation_confidence_val,avg_siding_confidence_val,avg_gutter_confidence_val,avg_roof_confidence_val,correct_house_present_prediction,correct_vegetation_prediction,correct_siding_prediction,correct_gutter_prediction,correct_roof_prediction,percent_correct_house_present_prediction,percent_correct_vegetation_prediction,percent_correct_siding_prediction,percent_correct_gutter_prediction,percent_correct_roof_prediction
303 I AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+I+AVE,Grundy+Center+Iowa",-92.7664108,42.3597459,,TRUE,,1,TRUE,garden_present,44.33,1,poor_siding,36.93,0,good_gutter,55.52,1,good_roof,58.53,1,G_G_303 I AVE_,,,43.30622222,37.01977778,65.17644444,55.06655556,43.19987879,37.00969697,65.07357576,54.88666667,0.846153846,0.864197531,0.037037037,0.827160494,0.888888889,84.62,86.42,3.7,82.72,88.89
301 I AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=301+I+AVE,Grundy+Center+Iowa",-92.7662163,42.359789,,TRUE,,1,TRUE,garden_present,44.12,1,poor_siding,36.41,0,good_gutter,55.83,1,bad_roof,51.38,1,W_G_301 I AVE_,No roof visible in image,,,,,,,,,,,,,,,,,,,
1206 4TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1206+4TH+ST,Grundy+Center+Iowa",-92.768083,42.3562098,,FALSE,house_present,0,FALSE,,0,,,0,,,0,,,0,,,Slight Blur,,,,,,,,,,,,,,,,,,,
505 I AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=505+I+AVE,Grundy+Center+Iowa",-92.770572,42.3597609,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,No image available warning,,,,,,,,,,,,,,,,,,,
212 K AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=212+K+AVE,Grundy+Center+Iowa",-92.7660608,42.3575262,,TRUE,,1,FALSE,garden_present,42,1,poor_siding,34.13,0,good_gutter,65.74,1,bad_roof,52.5,0,G_G_212 K AVE_,When you zoom in on house it is a little blury/ hard to see features,,,,,,,,,,,,,,,,,,,
1208 5TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1208+5TH+ST,Grundy+Center+Iowa",-92.7697747,42.3560731,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
808 FROST ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=808+FROST+ST,Grundy+Center+Iowa",-92.7671302,42.3598246,,TRUE,,1,TRUE,garden_present,42.74,0,poor_siding,35.84,0,good_gutter,65,1,good_roof,54.11,1,G_G_808 FROST ST_,,,,,,,,,,,,,,,,,,,,
307 I AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=307+I+AVE,Grundy+Center+Iowa",-92.7669163,42.3597721,,TRUE,,1,TRUE,no_garden,40.26,0,poor_siding,37.8,0,poor/no_gutter,72.25,1,bad_roof,51.96,0,W_G_307 I AVE_,,,,,,,,,,,,,,,,,,,,
310 E M Ave,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+M+Ave,Grundy+Center+Iowa",-92.7780334,42.3687752,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
501 HYDE AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=501+HYDE+AVE,Grundy+Center+Iowa",-92.7702608,42.3545054,,TRUE,,1,TRUE,garden_present,43.44,1,poor_siding,37.25,0,good_gutter,65.07,1,bad_roof,54.83,0,W_G_501 HYDE AVE_,Chose better image,,,,,,,,,,,,,,,,,,,
302 H AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+H+AVE,Grundy+Center+Iowa",-92.7661799,42.3603263,,TRUE,,1,TRUE,garden_present,39.66,1,poor_siding,37.51,0,good_gutter,67.36,1,good_roof,52.24,1,W_G_302 H AVE_,,,,,,,,,,,,,,,,,,,,
314 H AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=314+H+AVE,Grundy+Center+Iowa",-92.7677719,42.3603277,,TRUE,,1,FALSE,garden_present,38.27,0,chipped_paint,36,0,good_gutter,69.47,1,bad_roof,53.64,0,G_G_314 H AVE_,,,,,,,,,,,,,,,,,,,,
411 Hyde Ave,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=411+Hyde+Ave,Grundy+Center+Iowa",-92.7695997,42.354483,,TRUE,,1,TRUE,garden_present,41.18,1,good_siding,37.1,1,good_gutter,72.15,1,good_roof,54.47,1,W_G_411 HYDE AVE_,,,,,,,,,,,,,,,,,,,,
403 H AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+H+AVE,Grundy+Center+Iowa",-92.7690747,42.3606997,,TRUE,,0,FALSE,no_garden,39.45,,poor_siding,35.48,,good_gutter,57.97,,bad_roof,59.69,,G_G_403 H AVE_,,,,,,,,,,,,,,,,,,,,
708 5TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+5TH+ST,Grundy+Center+Iowa",-92.7696858,42.3607574,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
302 E H AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+E+H+AVE,Grundy+Center+Iowa",-92.7661799,42.3603263,,TRUE,,1,FALSE,garden_present,40.68,1,poor_siding,35.6,0,good_gutter,67.67,1,bad_roof,50.45,0,G_G_302 E H AVE_,,,,,,,,,,,,,,,,,,,,
310 G AVE,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+G+AVE,Grundy+Center+Iowa",-92.767214,42.361311,,TRUE,,1,TRUE,no_garden,40,1,chipped_paint,35.8,0,good_gutter,70.52,0,good_roof,51.81,1,G_G_310 G AVE_,,,,,,,,,,,,,,,,,,,,
1204 4TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1204+4TH+ST,Grundy+Center+Iowa",-92.768083,42.3564019,,TRUE,,1,FALSE,garden_present,41.34,1,poor_siding,36.63,0,poor/no_gutter,70.91,0,good_roof,55.67,1,G_G_1204 4TH ST_,,,,,,,,,,,,,,,,,,,,
1202 4TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1202+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3566521,,TRUE,,1,FALSE,garden_present,38.71,1,poor_siding,36.3,0,poor/no_gutter,69.72,1,good_roof,54.34,1,G_G_1202 4TH ST_,,,,,,,,,,,,,,,,,,,,
803 FROST ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=803+FROST+ST,Grundy+Center+Iowa",-92.7675774,42.3601404,,FALSE,house_present,1,FALSE,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,
1104 4TH ST,Grundy Center,Iowa,G,G,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1104+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3571131,,TRUE,,1,FALSE,garden_present,45.37,1,poor_siding,39.56,0,good_gutter,62.66,1,good_roof,54.36,1,G_G_1104 4TH ST_,,,,,,,,,,,,,,,,,,,,
