Parcel Number,Photo,url_shift,link,address,address_trim,Address_uncut,Style,Year Built,Total SF,Lot Area,Appraised Value,Url
06.27.151.010,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a/70,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a,https://photos.camavision.com/0af909e2afd4e06cc70d871347484b4a,,,"
              
                      ",,,,$630 ,$630 ,https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.33.453.002,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8/70,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8,https://photos.camavision.com/bf376d13074083f70da27bc4ddc9bec8,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$13,470 ","$13,470 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.34.153.004,,,,,,"
              
                      ",,,,"$1,360 ","$1,360 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.34.229.024,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",,,,"$11,900 ","$11,900 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.34.376.010,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e/70,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e,https://photos.camavision.com/35a028e45732dec2f51ccc15a495f62e,,,"
              
                      ",,,,"$16,450 ","$16,450 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.34.459.010,,,,,,"
              
                      ",,,,"$2,530 ","$2,530 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.34.490.018,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4/70,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4,https://photos.camavision.com/30a8f3b59f0fa964e1c7f0c7109263c4,,,"
              
                      ",,,,"$2,350 ","$2,350 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.156.003,,,,INDEPENDENCE,INDEPENDENCE,"
              INDEPENDENCE
                      ",1 Story Frame,1900,0,"$10,720 ","$10,720 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
06.35.305.002,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d/70,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d,https://photos.camavision.com/a45f4d41a197a41dea11da8b3e24f61d,,,"
              
                      ",,,,"$7,540 ","$7,540 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
10.02.100.001,,,,,,"
              
                      ",,,,"$12,960 ","$12,960 ",https://buchanan.iowaassessors.com/results.php?sort_options=2&sort=0&mode=resbld&history=-1&occupancy1=&style1=&year1=&year2=&tla1=&tla2=&bedroom1=Equals&bedroom2=&ac1=&fireplace1=&bsmt1=&atticsf1=&atticsf2=&bsmtfin1=&bsmtfin2=&garatt1=&garatt2=&gardet1=&gardet2=&lot1=&lot2=&location1=&class1=2&dc=&maparea1=&dist1=5&appraised1=&appraised2=&sale_date1=&sale_date2=&sale_amt1=&sale_amt2=&nutc1=100%2C0%2C122%2C126%2C134%2C135%2C136%2C140%2C141%2C143%2C145%2C147%2C105%2C154%2C155%2C158%2C107%2C167%2C170%2C176%2C110%2C112%2C116
