address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
119 W SYCAMORE ST,Ogden,Iowa,,,,"119 W SYCAMORE ST, Ogden, Iowa",-94.0289772,42.0412547,,,,,,,,,,,,,,,,,,True,,False,garden_present,51.39,good_siding,43.89,good_gutter,68.01,good_roof,56.35,G_OG_119 W SYCAMORE ST_
319 NW 2ND ST,Ogden,Iowa,,,,"319 NW 2ND ST, Ogden, Iowa",-94.0292165,42.0417869,,,,,,,,,,,,,,,,,,True,,False,garden_present,49.04,good_siding,36.8,good_gutter,69.47,good_roof,56.28,G_OG_319 NW 2ND ST_
125 W SYCAMORE ST,Ogden,Iowa,,,,"125 W SYCAMORE ST, Ogden, Iowa",-94.0292564,42.0412449,,,,,,,,,,,,,,,,,,True,,False,garden_present,43.14,good_siding,37.49,good_gutter,62.03,good_roof,51.42,G_OG_125 W SYCAMORE ST_
207 W MAPLE ST,Ogden,Iowa,,,,"207 W MAPLE ST, Ogden, Iowa",-94.0300144,42.0422223,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.86,good_siding,39.02,good_gutter,65.98,good_roof,54.46,G_OG_207 W MAPLE ST_
426 N 1ST ST,Ogden,Iowa,,,,"426 N 1ST ST, Ogden, Iowa",-94.0283189,42.042803,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.15,good_siding,39.7,good_gutter,52.31,good_roof,54.99,G_OG_426 N 1ST ST_
402 NW 2ND ST,Ogden,Iowa,,,,"402 NW 2ND ST, Ogden, Iowa",-94.0297751,42.0422307,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
407 NW 3RD ST,Ogden,Iowa,,,,"407 NW 3RD ST, Ogden, Iowa",-94.0304732,42.0424186,,,,,,,,,,,,,,,,,,True,,False,garden_present,47.68,good_siding,42.49,poor/no_gutter,64.92,good_roof,58.76,G_OG_407 NW 3RD ST_
125 W MAPLE ST,Ogden,Iowa,,,,"125 W MAPLE ST, Ogden, Iowa",-94.0292564,42.0422489,,,,,,,,,,,,,,,,,,True,,False,garden_present,48.34,good_siding,43.93,good_gutter,70.27,good_roof,52.89,G_OG_125 W MAPLE ST_
219 W MAPLE ST,Ogden,Iowa,,,,"219 W MAPLE ST, Ogden, Iowa",-94.0304533,42.0422069,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
119 W MAPLE ST,Ogden,Iowa,,,,"119 W MAPLE ST, Ogden, Iowa",-94.0290171,42.0422959,,,,,,,,,,,,,,,,,,True,,False,garden_present,48.67,good_siding,45.51,good_gutter,71.12,good_roof,54.95,G_OG_119 W MAPLE ST_
619 W MAPLE ST,Ogden,Iowa,,,,"619 W MAPLE ST, Ogden, Iowa",-94.0354425,42.0422698,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
419 NW 7TH ST,Ogden,Iowa,,,,"419 NW 7TH ST, Ogden, Iowa",-94.0360788,42.0426275,,,,,,,,,,,,,,,,,,True,,False,garden_present,50.49,good_siding,41.23,good_gutter,69.35,good_roof,57.26,G_OG_419 NW 7TH ST_
513 NW 3RD ST,Ogden,Iowa,,,,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.3,good_siding,37.33,poor/no_gutter,66.82,good_roof,59.12,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,,,,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.3,good_siding,37.33,poor/no_gutter,66.82,good_roof,59.12,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,,,,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.3,good_siding,37.33,poor/no_gutter,66.82,good_roof,59.12,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,,,,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.3,good_siding,37.33,poor/no_gutter,66.82,good_roof,59.12,G_OG_513 NW 3RD ST_
513 NW 3RD ST,Ogden,Iowa,,,,"513 NW 3RD ST, Ogden, Iowa",-94.0303934,42.0435797,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.3,good_siding,37.33,poor/no_gutter,66.82,good_roof,59.12,G_OG_513 NW 3RD ST_
620 N 5TH ST,Ogden,Iowa,,,,"620 N 5TH ST, Ogden, Iowa",-94.0336051,42.0447606,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.83,poor_siding,38.54,good_gutter,50.58,good_roof,55.28,G_OG_620 N 5TH ST_
120 W ELM ST,Ogden,Iowa,,,,"120 W ELM ST, Ogden, Iowa",-94.0288774,42.0427834,,,,,,,,,,,,,,,,,,True,,False,garden_present,39.13,poor_siding,37.74,good_gutter,53.52,good_roof,59.28,G_OG_120 W ELM ST_
