Parcel ID,Address
8.72E+11, 609 B AVE 
8.72E+11, 610 C AVE 
8.72E+11, 609 C AVE 
8.72E+11, 706 A AVE 
8.72E+11,717-719 G AVE 
8.72E+11, 205 6TH ST 
8.72E+11, W AVE 
8.72E+11, 606 8TH ST 
8.72E+11, 304 7TH ST 
8.72E+11, 108 7TH ST 
8.72E+11, 1103 G AVE 
8.72E+11, 301 7TH ST 
8.72E+11, 1109 E AVE 
8.72E+11, 606 B AVE 
8.72E+11, 800 A AVE 
8.72E+11, 104 7TH ST 
8.72E+11, 605 B AVE 
8.72E+11, 1108 E AVE 
8.72E+11, 1401 G AVE 
8.72E+11, 103 6TH ST 
8.72E+11, 1109 G AVE 
8.72E+11, 608 7TH ST 
8.72E+11, 505 9TH ST 
8.72E+11, 601 C AVE 
8.72E+11, 604 11TH ST 
8.72E+11, 607 G AVE 
8.72E+11, 807 F AVE 
8.72E+11, 609 D AVE 
8.72E+11, 301 6TH ST 
8.72E+11, 507 9TH ST 
8.72E+11, 501 9TH ST 
8.72E+11, 402 9TH ST 
8.72E+11, W AVE 
8.72E+11, 1702 W AVE 
8.72E+11, 1701 G AVE 
8.72E+11, 704 B AVE 
8.72E+11, 404 8TH ST 
8.72E+11, 1103 F AVE 
8.72E+11, 307 8TH ST 
8.72E+11, 1006 F AVE 
8.72E+11, 105 7TH ST 
8.72E+11, 503 9TH ST 
8.72E+11, 603 8TH ST 
8.72E+11, 707 E AVE 
8.72E+11, 805 E AVE 
8.72E+11, 605 14 ST 
8.72E+11, 405 6TH ST 
8.72E+11, 607 B AVE 
8.72E+11, 507 10TH ST 
8.72E+11, 1203 E AVE 
8.72E+11, 501 11TH ST 
8.72E+11, 308 8TH ST 
8.72E+11, 1112 E AVE 
8.72E+11, 602 10TH ST 
8.72E+11, 502 9TH ST 
8.72E+11, 721 G AVE 
8.72E+11, 703 E AVE 
8.72E+11, 408 10TH ST 
8.72E+11, 1006 E AVE 
8.72E+11, 805 G AVE 
8.72E+11, 107 6TH ST 
8.72E+11, 201 6TH ST 
8.72E+11, 629 G AVE 
8.72E+11, 1706 W AVE 
8.72E+11, 1205 E AVE 
8.72E+11, 605 10TH ST 
8.72E+11, 1305 E AVE 
8.72E+11, 206 8TH ST 
8.72E+11, 605 E AVE 
8.72E+11, 404 7TH ST 
8.72E+11, 1107 F AVE 
8.72E+11, 706 D AVE 
8.72E+11, 1113 F AVE 
8.72E+11, 204 7TH ST 
8.72E+11, 905 E AVE 
8.72E+11, 1206 E AVE 
8.72E+11, 703 D AVE 
8.72E+11, 1005 F AVE 
8.72E+11, 1709 G AVE 
8.72E+11, 711 G AVE 
8.72E+11, 1309 G AVE 
8.72E+11, 605 8TH ST 
8.72E+11, 200 8TH ST 
8.72E+11, 608 C AVE 
8.72E+11, 205 7TH ST 
8.72E+11, 907 G AVE 
8.72E+11, 905 G AVE 
8.72E+11, 606 10TH ST 
8.72E+11, 1111 E AVE 
8.72E+11, 106 7TH ST 
8.72E+11, 509 14 ST 
8.72E+11, 808 F AVE 
8.72E+11, 1106 E AVE 
8.72E+11, 907 F AVE 
8.72E+11, 905 D AVE 
8.72E+11, 603 G AVE 
8.72E+11, 604 9TH ST 
8.72E+11, 625 G AVE 
8.72E+11, 502 10TH ST 
8.72E+11, 403 9TH ST 
8.72E+11, 905 F AVE 
8.72E+11, 609 G AVE 
