Parcel ID,Address,
8.71607E+11, 303 I AVE ,
8.71607E+11, 301 I AVE ,
8.71607E+11, 1206 4TH ST ,
8.71712E+11, 505 I AVE ,
8.71607E+11, 212 K AVE ,
8.71712E+11, 1208 5TH ST ,
8.71607E+11, 808 FROST ST ,
8.71607E+11, 307 I AVE ,
8.71607E+11, 310 E M Ave,
8.71712E+11, 501 HYDE AVE ,
8.71607E+11, 302 H AVE ,
8.71607E+11, 314 H AVE ,
8.71712E+11, 411 Hyde Ave,
8.71712E+11, 403 H AVE ,
8.71712E+11, 708 5TH ST ,
8.71607E+11, 302 E H AVE ,
8.71607E+11, 310 G AVE ,
8.71607E+11, 1204 4TH ST ,
8.71607E+11, 1202 4TH ST ,
8.71607E+11, 803 FROST ST ,
8.71607E+11, 1104 4TH ST ,
8.71607E+11, 212 J AVE ,
8.71607E+11, 202 K AVE ,
8.71607E+11, 313 H AVE ,
8.71712E+11, 502 BUTLER AVE ,
8.71712E+11, 320 H AVE ,
8.71712E+11, 404 G AVE ,
8.71607E+11, 206 G AVE ,
8.71607E+11, 702 E 1ST ST ,
8.71607E+11, 305 H AVE ,
8.71712E+11, 705 4TH ST ,
8.71712E+11, 409 J AVE ,
8.71607E+11, 104 K AVE ,
8.71607E+11, 1304 4TH ST ,
8.71712E+11, 404 I AVE ,
8.71607E+11, 307 E I AVE ,
8.71607E+11, 901 FROST ST ,
8.71607E+11, 304 H AVE ,
8.71607E+11, 704 2 ST ,
8.71607E+11, 703 FROST ST ,
8.71607E+11, 106 E G AVE ,
8.71712E+11, 706 4TH ST ,
8.71607E+11, 903 3 ST ,
8.71712E+11, 407 K AVE ,
8.71712E+11, 406 H AVE ,
8.71712E+11, 410 H AVE ,
8.71607E+11, 308 H AVE ,
8.71607E+11, 204 K AVE APT 5 ,
8.71607E+11, 202 I AVE ,
8.71712E+11, 503 I AVE ,
8.71712E+11, 805 5TH ST ,
8.71712E+11, 509 I AVE ,
8.71607E+11, 211 K AVE ,
8.71712E+11, 402 G AVE ,
8.71607E+11, 311 H AVE ,
8.71607E+11, 316 I AVE ,
8.71607E+11, 1006 3 ST ,
8.71607E+11, 902 FROST ST ,
8.71607E+11, 1102 4TH ST ,
8.71607E+11, 105 K AVE ,
8.71607E+11, 218 K AVE ,
8.71607E+11, 310 E H AVE ,
8.71607E+11, 214 J AVE ,
8.71712E+11, 908 6TH ST ,
8.71607E+11, 809 FROST ST ,
8.71712E+11, 1309 5TH ST ,
8.71712E+11, 404 BUTLER AVE ,
8.71607E+11, 206 J AVE ,
8.71712E+11, 504 BUTLER AVE ,
8.71607E+11, 217 J AVE ,
8.71712E+11, 403 J AVE ,
8.71712E+11, 801 4TH ST ,
8.71607E+11, 708 2 ST ,
8.71607E+11, 704 FROST ST ,
8.71607E+11, 808 2ND ST ST ,
8.71712E+11, 508 I AVE ,
8.71607E+11, 104 K AVE ,
8.71712E+11, 1406 6TH ST ,
8.71712E+11, 1407 4TH ST ,
8.71712E+11, 806 6TH ST ,
8.71607E+11, 310 H AVE ,
8.71712E+11, 804 5TH ST ,
8.71712E+11, 506 H AVE ,
8.71607E+11, 205 H AVE ,
8.71607E+11, 705 3 ST ,
8.71607E+11, 316 H AVE ,
8.71712E+11, 802 6TH ST ,
