Parcel ID,Address
8.71712E+11, 1104 9TH ST 
8.71712E+11, 904 11TH ST 
8.71712E+11, 810 L AVE 
8.71712E+11, 1700 G AVE 
8.71712E+11, 1207 10TH ST 
8.71712E+11, 905 12TH ST 
8.71712E+11, 1207 H AVE 
8.71712E+11, 706 12TH ST 
8.71712E+11, 1002 L AVE 
8.71712E+11, 910 K AVE 
8.71712E+11, 1602 G AVE 
8.71712E+11, 805 M AVE 
8.71712E+11, 1502 G AVE 
8.71712E+11, 805 6TH ST 
8.71712E+11, 901 13 ST 
8.71712E+11, 706 J AVE 
8.71713E+11, 1502 9TH ST 
8.71712E+11, 906 8TH ST 
8.71712E+11, 706 K AVE 
8.71712E+11, 803 6TH ST 
8.71712E+11, 1512 CANTEBURY CIR 
8.71712E+11, 1506 G AVE 
8.71712E+11, 1104 11TH ST 
8.71712E+11, 1504 CANTEBURY CIR 
8.71712E+11, 707 6TH ST 
8.71712E+11, 910 G AVE 
8.71712E+11, 805 L AVE 
8.71712E+11, 806 7TH ST 
8.71712E+11, 1005 L AVE 
8.71712E+11, 805 WALDEN LN 
8.71712E+11, 1001 11TH ST 
8.71712E+11, 1706 G AVE 
8.71712E+11, 1107 12TH ST 
8.71712E+11, 902 13 ST 
8.71712E+11, 807 M AVE 
8.71712E+11, 804 7TH ST 
8.71712E+11, 1110 I AVE 
8.71712E+11, 1516 CANTEBURY CIR 
8.71712E+11, 801 6TH ST 
8.71712E+11, 703 12TH ST 
8.71712E+11, 1010 I AVE 
8.71712E+11, 608 H AVE 
8.71712E+11, 903 I AVE 
8.71712E+11, 606 H AVE 
8.71712E+11, 1503 CANTEBURY CIR 
8.71712E+11, 703 J AVE 
8.71712E+11, 1510 CANTEBURY CIR 
8.71712E+11, 907 6TH ST 
8.71712E+11, 909 I AVE 
8.71712E+11, 706 13 ST 
8.71712E+11, 1104 13 ST 
8.71712E+11, 806 L AVE 
8.71712E+11, 23550 M AVE 
8.71712E+11, 1005 6TH ST 
8.71712E+11, 903 12TH ST 
8.71712E+11, 709 I AVE 
8.71712E+11, 908 H AVE 
8.71712E+11, 1104 L AVE 
8.71712E+11, 205 SOUTHVIEW DR 
8.71712E+11, 804 L AVE 
8.71712E+11, 1008 G AVE 
8.71712E+11, 1508 G AVE 
8.71712E+11, 1206 7TH ST 
8.71712E+11, 1604 G AVE 
8.71712E+11, 906 7TH ST 
8.71712E+11, 909 H AVE 
8.71712E+11, 1105 K AVE 
8.71712E+11, 902 K AVE 
8.71712E+11, 804 K AVE 
8.71712E+11, 1106 J AVE 
8.71712E+11, 1410 WILSHIRE DR 
8.71712E+11, 1302 9TH ST 
8.71712E+11, 1513 SAGE AVE 
8.71712E+11, 708 H AVE 
8.71712E+11, 1110 L AVE 
8.71712E+11, 1203 6TH ST 
8.71712E+11, 405 SOUTHVIEW DR 
8.71712E+11, 203 SOUTHVIEW DR 
8.71712E+11, 1106 G AVE 
8.71712E+11, 1109 J AVE 
8.71712E+11, 801 10TH ST 
8.71712E+11, 1606 G AVE 
8.71712E+11, 703 I AVE 
8.71712E+11, 1515 CANTEBURY CIR 
8.71712E+11, 706 I AVE 
