Parcel ID,Address
627476010,2094 JAMESTOWN AVE
627478013,1403 6TH AVE NE
627478005,1500 NORTH RIDGE CT NE
627477011,1402 6TH AVE NE
627478004,1501 NORTH RIDGE CT NE
627477010,1500 6TH AVE NE
627478009,1502 NORTH RIDGE CT NE
627478003,1503 NORTH RIDGE CT NE
627478006,502 14TH ST NE
627478014,504 14TH ST NE
627477013,600 14TH ST NE
627477012,602 14TH ST NE
627478012,1501 6TH AVE NE
627477009,1502 6TH AVE NE
627478008,1504 NORTH RIDGE CT NE
627478011,1503 6TH AVE NE
627477008,1504 6TH AVE NE
627478001,1501 NORTH RIDGE CT NE
627478007,1506 NORTH RIDGE CT NE
627478010,1505 6TH AVE NE
627477007,1506 6TH AVE NE
627428003,1803 8TH AVE NE
627476007,2089 KENTUCKY AVE
627477006,1508 6TH AVE NE
627477002,502 16TH ST NE
627477003,504 16TH ST NE
627477014,506 16TH ST NE
627477015,1510 6TH AVE NE
627476003,2082 JAMESTOWN AVE
627476012,2083 KENTUCKY AVE
627476017,2081 KENTUCKY AVE
627476016,2079 KENTUCKY AVE
627476015,2077 KENTUCKY AVE
627428004,1801 8TH AVE NE
627427005,2070 JAMESTOWN AVE
627427006,2068 JAMESTOWN AVE
627427011,1998 206TH ST
627427007,2066 JAMESTOWN AVE
627428002,1805 8TH AVE NE
627427001,2064 JAMESTOWN AVE
627427010,1980 206TH ST
627427004,1986 206TH ST
627428001,1901 8TH AVE NE
627476019,2080 JAMESTOWN AVE
627476001,2076 JAMESTOWN AVE
627427009,2074 JAMESTOWN AVE
627478002,1505 NORTH RIDGE CT NE
634228013,520 12TH ST NE
634229007,1200 6TH AVE NE
634229017,714 12TH ST NE
634229023,720 12TH ST NE
634228012,1205 6TH AVE NE
634229006,1204 6TH AVE NE
634229014,610 12TH ST NE
634229015,700 12TH ST NE
634229016,710 12TH ST NE
634228015,1200 5TH AVE NE
634228011,1211 6TH AV NE
634229005,1210 6TH AVE NE
634228014,1210 5TH AVE NE
634228003,508 12TH ST NE
634228004,510 12TH ST NE
634228005,516 12TH ST NE
634229021,1213 8TH AVE NE
634228010,1215 6TH AVE NE
634229020,1221 8TH AVE NE
634228009,1221 6TH AVE NE
634229003,1220 6TH AVE NE
634228008,1223 6TH AVE NE
634229002,1224 6TH AVE NE
634228016,501 13TH ST NE
634229001,1230 6TH AVE NE
634229008,611 13TH ST NE
634229010,705 13TH ST NE
634229011,711 13TH ST NE
634229012,717 13TH ST NE
634229018,1229 8TH AVE NE
634227012,712 13TH ST NE
634227013,716 13TH ST NE
634227014,720 13TH ST NE
634226008,500/512 13TH ST NE
634226008,500/512 13TH ST NE
634227005, 6TH AVE NE
634227011,1303 8TH AVE NE
634226004,1308 5TH AVE NE
634227010,1307 8TH AVE NE
634227003, 6TH AVE NE
634226012,1312 5TH AVE NE
634227016,1313 8TH AVE NE
634226011,1399 6TH AVE NE
634227007,700 13TH ST NE
634227015,601 14TH ST NE
634227006,700 13TH ST NE
634229022,1207 8TH AVE NE
634229019,1225 8TH AVE NE
634228007,1231 6TH AVE NE
634229025,1214 6TH AVE NE
635352003,902 HOMEWAY DR NE
634434001,618 6TH AVE NE
634190001,814 NELSON AVE NE
635159017, 9TH AVE NE
634339003,507/509 NELSON AVE NE
634484001,210 5TH AVE NE
634487001,801 3RD ST NE
635357001,807 3RD ST NE
635357002,813 3RD ST NE
635357003,817 3RD ST NE
635357004,217 9TH AVE NE
635358001,905 3RD ST NE
635359002,917 3RD ST NE
635359004,1007 3RD ST NE
635359005,1013 3RD ST NE
634458009,208 2ND ST NE
634458011,216 2ND ST NE
634486009,201 8TH AVE NE
634458020, 3RD AVE NE
634458005,200 2ND AVE NE
634486005,706 2ND ST NE
634458019,201 3RD AVE NE
634486004,200 7TH AVE NE
634457002,231 2ND AVE NE
634486006,217 8TH AVE NE
634458001,218 2ND AVE NE
634486001,216 7TH AVE NE
634458008,209 3RD ST NE
634458012,217 3RD AVE NE
634459001,218 3RD AVE NE
634459006,313 3RD ST NE
634459007,217 4TH AVE NE
634460001,209 5TH AVE NE
634459012, 2ND ST NE
634459004,206 3RD AVE NE
635357006,200 8TH AVE NE
635357010,201 9TH AVE NE
634458010,210 2ND ST NE
634458017,205 3RD AVE NE
634457005, CORRINE AVE
634486007,209 8TH AVE NE
634457006,207 2ND AVE NE
