full url,,District/Parcel,District/Parcel URL,Class,BldgFull,Address,Address City,Yr,Area,Condition,X,Y,address trim,address +,"address+,",city +,address+city,,front url,full url,,sort poor,sort link,poor text,link text
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=112+VIRGINIA+AVE,+DES+MOINES",,010/00002-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000002000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,120100,112 VIRGINIA AVE ,DES MOINES,1955,1053,BN/Below Normal,1608481.672,567672.874,112 VIRGINIA AVE,112+VIRGINIA+AVE,"112+VIRGINIA+AVE,+",DES+MOINES,"112+VIRGINIA+AVE,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=112+VIRGINIA+AVE,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=802+PLEASANT+VIEW+DR,+DES+MOINES",,010/00052-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000052000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,102000,802 PLEASANT VIEW DR ,DES MOINES,1926,1210,BN/Below Normal,1606330.995,567343.606,802 PLEASANT VIEW DR,802+PLEASANT+VIEW+DR,"802+PLEASANT+VIEW+DR,+",DES+MOINES,"802+PLEASANT+VIEW+DR,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=802+PLEASANT+VIEW+DR,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2312+SE+8TH+ST,+DES+MOINES",,010/00069-002-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000069002000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,83000,2312 SE 8TH ST ,DES MOINES,1886,1080,BN/Below Normal,1612164.247,570451.655,2312 SE 8TH ST,2312+SE+8TH+ST,"2312+SE+8TH+ST,+",DES+MOINES,"2312+SE+8TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2312+SE+8TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2318+SE+8TH+ST,+DES+MOINES",,010/00071-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000071000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,84500,2318 SE 8TH ST ,DES MOINES,1896,772,BN/Below Normal,1612164.845,570384.536,2318 SE 8TH ST,2318+SE+8TH+ST,"2318+SE+8TH+ST,+",DES+MOINES,"2318+SE+8TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2318+SE+8TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=613+PIONEER+RD,+DES+MOINES",,010/00093-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000093000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,87200,613 PIONEER RD ,DES MOINES,1894,1095,BN/Below Normal,1611808.334,570536.143,613 PIONEER RD,613+PIONEER+RD,"613+PIONEER+RD,+",DES+MOINES,"613+PIONEER+RD,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=613+PIONEER+RD,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2347+SE+6TH+ST,+DES+MOINES",,010/00101-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000101000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,77600,2347 SE 6TH ST ,DES MOINES,1886,876,BN/Below Normal,1611692.481,570066.942,2347 SE 6TH ST,2347+SE+6TH+ST,"2347+SE+6TH+ST,+",DES+MOINES,"2347+SE+6TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2347+SE+6TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2311+SE+6TH+ST,+DES+MOINES",,010/00109-001-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000109001000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,88300,2311 SE 6TH ST ,DES MOINES,1886,1024,BN/Below Normal,1611687.675,570481.454,2311 SE 6TH ST,2311+SE+6TH+ST,"2311+SE+6TH+ST,+",DES+MOINES,"2311+SE+6TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2311+SE+6TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2447+SE+6TH+ST,+DES+MOINES",,010/00125-002-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000125002000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,41200,2447 SE 6TH ST ,DES MOINES,1880,1018,PR/Poor,1611700.9,569415.645,2447 SE 6TH ST,2447+SE+6TH+ST,"2447+SE+6TH+ST,+",DES+MOINES,"2447+SE+6TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2447+SE+6TH+ST,+DES+MOINES",,PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2447+SE+6TH+ST,+DES+MOINES",PR/Poor,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2447+SE+6TH+ST,+DES+MOINES"
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2406+SE+8TH+ST,+DES+MOINES",,010/00139-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000139000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,107900,2406 SE 8TH ST ,DES MOINES,1886,1291,BN/Below Normal,1612158.931,569898.534,2406 SE 8TH ST,2406+SE+8TH+ST,"2406+SE+8TH+ST,+",DES+MOINES,"2406+SE+8TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2406+SE+8TH+ST,+DES+MOINES",,,,,
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2412+SE+8TH+ST,+DES+MOINES",,010/00141-000-000,http://web.assess.co.polk.ia.us/cgi-bin/web/tt/infoqry.cgi?tt=card/card&dp=01000141000000&amp;format=codeDescrOnly&amp;level=1&amp;,Res,39300,2412 SE 8TH ST ,DES MOINES,1889,768,BN/Below Normal,1612159.7,569812.169,2412 SE 8TH ST,2412+SE+8TH+ST,"2412+SE+8TH+ST,+",DES+MOINES,"2412+SE+8TH+ST,+DES+MOINES",,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2412+SE+8TH+ST,+DES+MOINES",,,,,
