link_full,Google_address,,url_start,address,address_full,,,jurisdiction,nbhd,dp,gp,house,dir,street,suffix,suffix_dir,apt,city,state,zip,zip4,class,land_full,bldg_full,total_full,land_adj,bldg_adj,total_adj,land_sf,land_acres,occupancy,residence_type,bldg_style,exterior_wall_type,percent_brick,roof_type,roof_material,main_living_area,upper_living_area,fin_attic_area,total_living_area,unfin_attic_area,foundation,basement_area,fin_bsmt_area_tot,bsmt_walkout,bsmt_gar_capacity,att_garage_area,garage_brick,open_porch_area,enclose_porch_area,patio_area,deck_area,canopy_area,veneer_area,carport_area,bathrooms,toilet_rooms,extra_fixtures,whirlpools,hottubs,saunas,fireplaces,bedrooms,rooms,families,year_built,year_remodel,eff_year_built,condition,heating,air_conditioning,percent_complete,detached_structs,x,y,tif,tif_descr
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=811+N+GRANT+AVE,+ELKHART+IOWA",811_N_GRANT_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,811 N GRANT AVE,"811 N GRANT AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,811,N,GRANT,AVE,,,ELKHART,IA,50073,9161,R,65800,153900,219700,65800,153900,219700,38120,0.875,Single Family,1.5 Stories,Early 20s,Metal Siding,0,Gable,Asphalt Shingle,1366,1097,0,2463,0,Concrete Block,550,0,0,0,0,0,125,64,272,144,0,0,0,2,0,0,0,0,0,0,4,6,1,1900,,1945,Normal,Gas Forced Air,100,,UTS/1440 SHD/42 SHD/736,1634582.977,655237.602,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=810+NE+ELM+ST,+ELKHART+IOWA",810_NE_ELM_ST,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,810 NE ELM ST,"810 NE ELM ST, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,810,NE,ELM,ST,,,ELKHART,IA,50073,,R,67600,290500,358100,67600,290500,358100,9651,0.222,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1587,0,0,1587,0,Poured Concrete,1587,843,0,0,703,0,63,0,0,144,0,24,0,3,0,0,0,0,0,1,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1636844.81,653933.981,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=814+NE+ELM+ST,+ELKHART+IOWA",814_NE_ELM_ST,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,814 NE ELM ST,"814 NE ELM ST, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,814,NE,ELM,ST,,,ELKHART,IA,50073,,R,71200,274200,345400,71200,274200,345400,14325,0.329,Single Family,1 Story,Ranch,Hardboard,0,Gable,Asphalt Shingle,1405,0,0,1405,0,Poured Concrete,1405,0,0,0,704,0,239,0,0,100,0,42,0,2,0,1,0,0,0,1,3,6,1,2021,,,Normal,Gas Forced Air,100,,,1636938.873,653935.459,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=818+NE+ELM+ST,+ELKHART+IOWA",818_NE_ELM_ST,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,818 NE ELM ST,"818 NE ELM ST, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,818,NE,ELM,ST,,,ELKHART,IA,50073,,R,72200,318700,390900,72200,318700,390900,15709,0.361,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1587,0,0,1587,0,Poured Concrete,1587,1054,0,0,650,0,143,0,0,144,0,24,0,3,0,1,0,0,0,1,3,5,1,2021,,,Normal,Gas Forced Air,100,,SHD/180,1637017.509,653900.719,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=822+NE+ELM+ST,+ELKHART+IOWA",822_NE_ELM_ST,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,822 NE ELM ST,"822 NE ELM ST, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,822,NE,ELM,ST,,,ELKHART,IA,50073,,R,67300,273200,340500,67300,273200,340500,9276,0.213,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1587,0,0,1587,0,Poured Concrete,1587,0,0,0,670,0,128,0,0,144,0,24,0,2,0,1,0,0,0,1,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1637027.78,653811.877,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=327+NE+ADAMS+AVE,+ELKHART+IOWA",327_NE_ADAMS_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,327 NE ADAMS AVE,"327 NE ADAMS AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,327,NE,ADAMS,AVE,,,ELKHART,IA,50073,,R,47900,214600,262500,47900,214600,262500,6261,0.144,Single Family,2 Stories,Conventional,Vinyl Siding,0,Gable,Asphalt Shingle,703,725,0,1428,0,Poured Concrete,703,0,0,0,434,0,0,0,0,100,0,16,0,2,1,0,0,0,0,0,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1637019.512,653748.426,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=323+NE+ADAMS+AVE,+ELKHART+IOWA",323_NE_ADAMS_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,323 NE ADAMS AVE,"323 NE ADAMS AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,323,NE,ADAMS,AVE,,,ELKHART,IA,50073,,R,47900,213200,261100,47900,213200,261100,6262,0.144,Single Family,2 Stories,Conventional,Vinyl Siding,0,Gable,Asphalt Shingle,712,721,0,1433,0,Poured Concrete,712,0,0,0,440,0,45,0,0,0,0,0,0,2,1,0,0,0,0,0,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1637019.388,653698.309,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=319+NE+ADAMS+AVE,+ELKHART+IOWA",319_NE_ADAMS_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,319 NE ADAMS AVE,"319 NE ADAMS AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,319,NE,ADAMS,AVE,,,ELKHART,IA,50073,,R,47900,213500,261400,47900,213500,261400,6264,0.144,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1228,0,0,1228,0,Poured Concrete,1228,0,0,0,525,0,40,0,0,120,0,16,0,2,0,0,0,0,0,0,3,5,1,2021,,,Normal,Gas Forced Air,100,,FNC/0,1637019.249,653648.196,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=315+NE+ADAMS+AVE,+ELKHART+IOWA",315_NE_ADAMS_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,315 NE ADAMS AVE,"315 NE ADAMS AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,315,NE,ADAMS,AVE,,,ELKHART,IA,50073,,R,47900,255200,303100,47900,255200,303100,6266,0.144,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1346,0,0,1346,0,Poured Concrete,1346,0,0,0,440,0,204,0,0,0,0,16,0,2,0,1,0,0,0,1,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1637019.109,653598.083,68,Elkhart UR
"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+NE+ADAMS+AVE,+ELKHART+IOWA",311_NE_ADAMS_AVE,,https://maps.googleapis.com/maps/api/streetview?size=800x800&location=,311 NE ADAMS AVE,"311 NE ADAMS AVE, ELKHART IOWA",,,ELKHART,EK01,2.11E+13,8.12E+11,311,NE,ADAMS,AVE,,,ELKHART,IA,50073,,R,47900,246000,293900,47900,246000,293900,6267,0.144,Single Family,1 Story,Ranch,Vinyl Siding,0,Gable,Asphalt Shingle,1406,0,0,1406,0,Poured Concrete,1406,0,0,0,440,0,40,0,0,144,0,16,0,2,0,1,0,0,0,1,3,5,1,2021,,,Normal,Gas Forced Air,100,,,1637003.048,653547.772,68,Elkhart UR
