"","Year","GEOID","NAME","Total Workforce","Total Workforce moe","Workforce Commuting","Workforce Commuting moe","Percent Workforce Commuting","moe"
"1","2009","1924600","Eldridge",2529,202,1977,184,0.781731909845789,0.0958756922580225
"2","2009","1924645","Elgin",291,55,222,50,0.762886597938144,0.224305137874582
"3","2009","1924690","Elkader",636,104,258,69,0.405660377358491,0.127163106752207
"4","2009","1924735","Elkhart",243,71,225,70,0.925925925925926,0.395186987025865
"5","2009","1924780","Elk Horn",237,63,113,36,0.476793248945148,0.19783045540643
"6","2009","1924825","Elkport",25,16,25,16,1,0.905096679918781
"7","2009","1924870","Elk Run Heights",586,117,560,115,0.955631399317406,0.273709839129528
"8","2009","1924915","Elliott",143,41,133,38,0.93006993006993,0.376462577640954
"9","2009","1925005","Ellston",22,18,10,8,0.454545454545455,0.520136164547424
"10","2009","1925050","Ellsworth",236,56,194,54,0.822033898305085,0.300671940719193
"11","2009","1925095","Elma",222,57,98,35,0.441441441441441,0.194171545728048
"12","2009","1925365","Ely",867,112,806,110,0.929642445213379,0.174697520774934
"13","2009","1925500","Emerson",187,33,146,30,0.780748663101604,0.211471470204658
"14","2009","1925590","Emmetsburg",1876,209,658,151,0.350746268656716,0.0894740959887394
"15","2009","1925725","Epworth",1039,128,857,125,0.824831568816169,0.157479235034403
"16","2009","1925815","Essex",420,77,328,65,0.780952380952381,0.210832194315142
"17","2009","1925860","Estherville",3182,197,1159,231,0.364236329352608,0.0760175417564244
"18","2009","1925995","Evansdale",2543,177,2146,252,0.843885174990169,0.115195228553151
"19","2009","1926175","Everly",306,60,240,56,0.784313725490196,0.239043584113567
"20","2009","1926265","Exira",282,65,132,35,0.468085106382979,0.164453121396855
"21","2009","1926310","Exline",40,21,27,18,0.675,0.572784113453751
"22","2009","1926355","Fairbank",520,93,375,77,0.721153846153846,0.196370767698289
"23","2009","1926400","Fairfax",856,137,702,123,0.820093457943925,0.194614220933485
"24","2009","1926445","Fairfield",4621,380,834,227,0.180480415494482,0.0513166133290011
"25","2009","1926760","Farley",723,95,608,81,0.840940525587829,0.157356377633723
"26","2009","1926850","Farmersburg",144,40,118,32,0.819444444444444,0.318111857890378
