"","year","GEOID","NAME","Total Housing Units","Total Housing Units moe","Occupied Units","Occupied Units moe","vacant_unitsE","vacant_unitsM","Owner Occupied Units","Owner Occupied Units moe","Renter Occupied Units","Renter Occupied Units moe","Median House Value","Median House Value moe","Median Year Built","Median Year Built moe","Home Ownership Rate Estimate","Home Ownership Rate moe","Rental Rate Estimate","Rental Rate moe","Vacancy Rate Estimate","Vacancy Rate moe","Occupancy Rate Estimate","Occupancy Rate moe"
"1","2009","1924600","Eldridge",1769,110,1733,96,36,57,1398,114,335,100,165000,11987,1983,4,0.8066935949221,0.079524741948277,0.1933064050779,0.0586885825950665,0.0203504804974562,0.0322464331525298,0.979649519502544,3.28184651323016e-05
"2","2009","1924645","Elgin",306,43,285,39,21,24,231,36,54,23,64600,5507,1958,8,0.810526315789474,0.168100036682174,0.189473684210526,0.084764575123159,0.0686274509803922,0.0790220327881494,0.931372549019608,0.00047660946013227
"3","2009","1924690","Elkader",683,80,633,77,50,36,498,69,135,43,80300,3837,1939,0,0.786729857819905,0.145053621630767,0.213270142180095,0.0727157548791373,0.0732064421669107,0.0534015535278963,0.926793557833089,0.000183679463290663
"4","2009","1924735","Elkhart",252,53,231,50,21,25,178,44,53,22,126000,15077,1979,7,0.770562770562771,0.253178940062014,0.229437229437229,0.107408486643848,0.0833333333333333,0.100742624289059,0.916666666666667,0.000948254019910923
"5","2009","1924780","Elk Horn",290,42,224,36,66,34,210,33,14,10,81700,6677,1951,13,0.9375,0.210724807735173,0.0625,0.0457589285714286,0.227586206896552,0.121786504951135,0.772413793103448,0.000483928735537926
"6","2009","1924825","Elkport",29,20,21,17,8,12,12,13,9,14,NA,0,1939,0,0.571428571428571,0.772790313307494,0.428571428571429,0.751539059794609,0.275862068965517,0.455433509803627,0.724137931034483,0.0320904986843984
"7","2009","1924870","Elk Run Heights",458,62,440,60,18,18,405,58,35,26,110800,9687,1958,2,0.920454545454545,0.182017669722989,0.0795454545454545,0.0600782429583452,0.0393013100436681,0.0396597804759023,0.960698689956332,0.000324474917957208
"8","2009","1924915","Elliott",163,37,142,36,21,17,130,34,12,8,48000,7032,1939,0,0.915492957746479,0.333464874170249,0.0845070422535211,0.0602741646969504,0.128834355828221,0.108317059462206,0.871165644171779,0.00163034824404916
"9","2009","1925005","Ellston",33,17,23,18,10,10,23,18,0,99,27500,54733,1974,79,1,1.10677583142242,0,4.30434782608696,0.303030303030303,0.340876238627559,0.696969696969697,0.0221338520862688
"10","2009","1925050","Ellsworth",204,39,183,36,21,19,124,35,59,22,76000,9507,1946,10,0.677595628415301,0.233125285923557,0.322404371584699,0.135923090643641,0.102941176470588,0.0951937389054668,0.897058823529412,0.0010257680952495
