"","Year","GEOID","NAME","Median Income","Median Income moe","Percent Median Income Change","Label"
"1","2009","1924600","Eldridge",62908,2474,NA,NA
"2","2009","1924645","Elgin",31375,7227,NA,NA
"3","2009","1924690","Elkader",46488,5621,NA,NA
"4","2009","1924735","Elkhart",40347,5768,NA,NA
"5","2009","1924780","Elk Horn",39667,17525,NA,NA
"6","2009","1924825","Elkport",32917,15789,NA,NA
"7","2009","1924870","Elk Run Heights",56000,11119,NA,NA
"8","2009","1924915","Elliott",39500,6239,NA,NA
"9","2009","1925005","Ellston",36875,31964,NA,NA
"10","2009","1925050","Ellsworth",42159,10480,NA,NA
"11","2009","1925095","Elma",33750,5633,NA,NA
"12","2009","1925365","Ely",75313,14543,NA,NA
"13","2009","1925500","Emerson",42361,4551,NA,NA
"14","2009","1925590","Emmetsburg",34482,6291,NA,NA
"15","2009","1925725","Epworth",55737,2371,NA,NA
"16","2009","1925815","Essex",44830,4665,NA,NA
"17","2009","1925860","Estherville",40275,3807,NA,NA
"18","2009","1925995","Evansdale",37785,3668,NA,NA
"19","2009","1926175","Everly",39205,6138,NA,NA
"20","2009","1926265","Exira",30865,7795,NA,NA
"21","2009","1926310","Exline",19792,5999,NA,NA
"22","2009","1926355","Fairbank",47308,7919,NA,NA
"23","2009","1926400","Fairfax",68603,12240,NA,NA
"24","2009","1926445","Fairfield",32656,5886,NA,NA
"25","2009","1926760","Farley",58173,5203,NA,NA
"26","2009","1926850","Farmersburg",51250,6795,NA,NA
"27","2009","1926895","Farmington",36250,8036,NA,NA
"28","2009","1926940","Farnhamville",44583,16245,NA,NA
"29","2009","1926985","Farragut",35833,11058,NA,NA
"30","2009","1927165","Fayette",32188,10048,NA,NA
"31","2009","1927210","Fenton",39063,8261,NA,NA
"32","2009","1927255","Ferguson",44583,11636,NA,NA
"33","2009","1927390","Fertile",41250,7704,NA,NA
"34","2009","1927975","Floris",41058,13081,NA,NA
"35","2009","1928020","Floyd",43906,4778,NA,NA
"36","2009","1928245","Fonda",36500,11237,NA,NA
"37","2009","1928290","Fontanelle",34408,6348,NA,NA
"38","2009","1928380","Forest City",40230,5397,NA,NA
"39","2009","1928425","Fort Atkinson",41042,14760,NA,NA
"40","2009","1928515","Fort Dodge",37900,2300,NA,NA
"41","2009","1928605","Fort Madison",37620,3366,NA,NA
"42","2009","1928650","Fostoria",27426,6534,NA,NA
"43","2009","1928740","Franklin",41250,19508,NA,NA
"44","2009","1928920","Fraser",38750,22650,NA,NA
"45","2009","1928965","Fredericksburg",35877,3090,NA,NA
"46","2009","1929010","Frederika",50625,17820,NA,NA
"47","2009","1929055","Fredonia",27212,8000,NA,NA
"48","2009","1929190","Fremont",41146,12044,NA,NA
"49","2009","1929280","Fruitland",71250,4733,NA,NA
"50","2009","1929550","Galt",31875,102767,NA,NA
"51","2009","1929595","Galva",40817,2548,NA,NA
"52","2009","1929685","Garber",27431,13877,NA,NA
"53","2009","1929775","Garden Grove",36875,5156,NA,NA
"54","2009","1929910","Garnavillo",38594,6117,NA,NA
"55","2009","1929955","Garner",54389,9902,NA,NA
"56","2009","1930000","Garrison",37574,4970,NA,NA
"57","2009","1930045","Garwin",45000,12001,NA,NA
"58","2009","1930135","Geneva",34792,23160,NA,NA
"59","2009","1930225","George",38276,8531,NA,NA
"60","2009","1930540","Gibson",32000,13156,NA,NA
"61","2009","1930630","Gilbert",71719,7912,NA,NA
"62","2009","1930675","Gilbertville",40577,10137,NA,NA
"63","2009","1930810","Gillett Grove",43594,11360,NA,NA
"64","2009","1930900","Gilman",43300,3243,NA,NA
"65","2009","1930945","Gilmore City",30769,15924,NA,NA
"66","2009","1931035","Gladbrook",53750,8195,NA,NA
"67","2009","1931350","Glenwood",50246,6571,NA,NA
"68","2009","1931395","Glidden",48684,5087,NA,NA
"69","2009","1931530","Goldfield",37153,10748,NA,NA
"70","2009","1931575","Goodell",42000,8277,NA,NA
"71","2009","1931665","Goose Lake",49286,9914,NA,NA
"72","2009","1931710","Gowrie",44773,6437,NA,NA
"73","2009","1944985","Libertyville",60000,21217,NA,NA
"74","2009","1945030","Lidderdale",30000,11245,NA,NA
"75","2009","1945165","Lime Springs",42596,7441,NA,NA
"76","2009","1945255","Lincoln",45417,12746,NA,NA
"77","2009","1945390","Linden",69375,21184,NA,NA
"78","2009","1945435","Lineville",36250,9847,NA,NA
"79","2009","1945480","Linn Grove",41250,16678,NA,NA
"80","2009","1945615","Lisbon",58750,6540,NA,NA
"81","2009","1945660","Liscomb",38958,9505,NA,NA
"82","2009","1945795","Little Rock",34844,13969,NA,NA
"83","2009","1945840","Little Sioux",43500,17588,NA,NA
"84","2009","1945975","Livermore",30125,3974,NA,NA
"85","2009","1946065","Lockridge",58750,12124,NA,NA
"86","2009","1946155","Logan",44635,10904,NA,NA
"87","2009","1946245","Lohrville",31000,4477,NA,NA
"88","2009","1946290","Lone Rock",36250,4195,NA,NA
"89","2009","1946335","Lone Tree",64167,8851,NA,NA
"90","2009","1946425","Long Grove",88182,8140,NA,NA
"91","2009","1946515","Lorimor",31607,15528,NA,NA
"92","2009","1946605","Lost Nation",39856,3727,NA,NA
"93","2009","1946830","Lovilia",48295,10834,NA,NA
"94","2009","1946920","Lowden",42000,8029,NA,NA
"95","2009","1947010","Low Moor",33000,12814,NA,NA
"96","2009","1947055","Luana",41406,13019,NA,NA
"97","2009","1947100","Lucas",30000,16587,NA,NA
"98","2009","1947280","Luther",33250,20126,NA,NA
"99","2009","1947370","Lu Verne",41250,19969,NA,NA
"100","2009","1947460","Luxemburg",50179,7430,NA,NA
"101","2009","1947505","Luzerne",41250,37047,NA,NA
"102","2009","1947595","Lynnville",49063,8469,NA,NA
"103","2009","1947730","Lytton",39167,11537,NA,NA
"104","2009","1947775","McCallsburg",44500,10334,NA,NA
"105","2009","1947820","McCausland",54500,10056,NA,NA
"106","2009","1947865","McClelland",72604,3838,NA,NA
"107","2009","1947955","Macedonia",36250,12185,NA,NA
"108","2009","1948000","McGregor",43512,9506,NA,NA
"109","2009","1948045","McIntire",45000,23236,NA,NA
"110","2009","1948180","Macksburg",48750,27288,NA,NA
"111","2009","1948450","Madrid",43590,5347,NA,NA
"112","2009","1948495","Magnolia",29963,42340,NA,NA
"113","2009","1948500","Maharishi Vedic City",90104,101966,NA,NA
"114","2009","1948540","Malcom",41000,5691,NA,NA
"115","2009","1948585","Mallard",24688,19781,NA,NA
"116","2009","1948675","Maloy",97708,82110,NA,NA
"117","2009","1948720","Malvern",53819,10257,NA,NA
"118","2009","1948810","Manchester",44260,8227,NA,NA
"119","2009","1948855","Manilla",35000,6561,NA,NA
"120","2009","1948900","Manly",44167,8835,NA,NA
"121","2009","1948945","Manning",34470,6062,NA,NA
"122","2009","1948990","Manson",33417,8858,NA,NA
"123","2009","1949170","Mapleton",35625,4509,NA,NA
"124","2009","1949215","Maquoketa",27423,3414,NA,NA
"125","2009","1949260","Marathon",22639,7067,NA,NA
"126","2009","1949305","Marble Rock",27019,13184,NA,NA
"127","2009","1949350","Marcus",51029,8341,NA,NA
"128","2009","1949395","Marengo",49315,5377,NA,NA
"129","2009","1949485","Marion",55365,4822,NA,NA
"130","2009","1949575","Marne",45208,19150,NA,NA
"131","2009","1949620","Marquette",45625,21055,NA,NA
"132","2009","1949755","Marshalltown",41374,2606,NA,NA
"133","2009","1949845","Martelle",43529,9436,NA,NA
"134","2009","1949890","Martensdale",54667,10440,NA,NA
"135","2009","1949935","Martinsburg",35625,22915,NA,NA
"136","2009","1950070","Marysville",34306,944,NA,NA
"137","2009","1950160","Mason City",42506,3282,NA,NA
"138","2009","1950205","Masonville",31705,12182,NA,NA
"139","2009","1950250","Massena",37813,16733,NA,NA
"140","2009","1950385","Matlock",48750,45232,NA,NA
"141","2009","1950430","Maurice",51875,6303,NA,NA
"142","2009","1950520","Maxwell",53667,6957,NA,NA
"143","2009","1950610","Maynard",37708,12856,NA,NA
"144","2009","1950655","Maysville",45625,18672,NA,NA
"145","2009","1931800","Graettinger",39844,7923,NA,NA
"146","2009","1931845","Graf",63750,24069,NA,NA
"147","2009","1931890","Grafton",40250,16596,NA,NA
"148","2009","1931980","Grand Junction",46563,4678,NA,NA
"149","2009","1932025","Grand Mound",49306,6434,NA,NA
"150","2009","1932070","Grand River",30625,11450,NA,NA
"151","2009","1932115","Grandview",43571,17556,NA,NA
"152","2009","1932160","Granger",53100,6012,NA,NA
"153","2009","1932295","Grant",40000,18493,NA,NA
"154","2009","1932475","Granville",36625,7085,NA,NA
"155","2009","1932520","Gravity",26071,20459,NA,NA
"156","2009","1932565","Gray",27917,18879,NA,NA
"157","2009","1932610","Greeley",40278,11938,NA,NA
"158","2009","1932745","Greene",43690,6120,NA,NA
"159","2009","1932790","Greenfield",41852,7993,NA,NA
"160","2009","1932970","Greenville",29375,11557,NA,NA
"161","2009","1933060","Grimes",75115,8574,NA,NA
"162","2009","1933105","Grinnell",47612,7724,NA,NA
"163","2009","1933150","Griswold",36776,7448,NA,NA
"164","2009","1933195","Grundy Center",52866,7401,NA,NA
"165","2009","1933240","Gruver",20625,35736,NA,NA
"166","2009","1933285","Guernsey",33750,18790,NA,NA
"167","2009","1933420","Guthrie Center",33098,5542,NA,NA
"168","2009","1933465","Guttenberg",33349,4889,NA,NA
"169","2009","1933645","Halbur",34712,13008,NA,NA
"170","2009","1933780","Hamburg",29803,4875,NA,NA
"171","2009","1933870","Hamilton",31250,6755,NA,NA
"172","2009","1933960","Hampton",42290,2609,NA,NA
"173","2009","1934005","Hancock",36250,14150,NA,NA
"174","2009","1934185","Hanlontown",71667,7303,NA,NA
"175","2009","1934365","Hansell",46250,14878,NA,NA
"176","2009","1934410","Harcourt",41250,15678,NA,NA
"177","2009","1934455","Hardy",50167,19486,NA,NA
"178","2009","1934500","Harlan",38881,3674,NA,NA
"179","2009","1934545","Harper",33750,13528,NA,NA
"180","2009","1934590","Harpers Ferry",34286,7539,NA,NA
"181","2009","1934635","Harris",50481,11868,NA,NA
"182","2009","1934680","Hartford",54167,9431,NA,NA
"183","2009","1934725","Hartley",40587,3295,NA,NA
"184","2009","1934770","Hartwick",39250,8892,NA,NA
"185","2009","1934860","Harvey",33056,10794,NA,NA
"186","2009","1934995","Hastings",39375,13556,NA,NA
"187","2009","1935130","Havelock",33182,5992,NA,NA
"188","2009","1935220","Haverhill",79167,22549,NA,NA
"189","2009","1935265","Hawarden",35833,6235,NA,NA
"190","2009","1935310","Hawkeye",44423,7825,NA,NA
"191","2009","1935445","Hayesville",26786,6384,NA,NA
"192","2009","1935580","Hazleton",32159,7848,NA,NA
"193","2009","1935670","Hedrick",37500,7213,NA,NA
"194","2009","1935715","Henderson",38438,8036,NA,NA
"195","2009","1935760","Hepburn",26250,26221,NA,NA
"196","2009","1935940","Hiawatha",41891,5422,NA,NA
"197","2009","1936345","Hills",64375,13762,NA,NA
"198","2009","1936390","Hillsboro",24135,11516,NA,NA
"199","2009","1936480","Hinton",59398,7474,NA,NA
"200","2009","1936705","Holland",42083,15910,NA,NA
"201","2009","1936840","Holstein",45917,7277,NA,NA
"202","2009","1936885","Holy Cross",42000,10423,NA,NA
"203","2009","1937155","Hopkinton",44048,4780,NA,NA
"204","2009","1937200","Hornick",42500,20157,NA,NA
"205","2009","1937290","Hospers",44306,5519,NA,NA
"206","2009","1937335","Houghton",68125,48970,NA,NA
"207","2009","1937425","Hubbard",43750,13598,NA,NA
"208","2009","1937470","Hudson",70536,9289,NA,NA
"209","2009","1937515","Hull",57177,3896,NA,NA
"210","2009","1937560","Humboldt",46281,8159,NA,NA
"211","2009","1937605","Humeston",32024,2789,NA,NA
"212","2009","1937920","Huxley",63839,7556,NA,NA
"213","2009","1938010","Ida Grove",41567,3039,NA,NA
"214","2009","1938055","Imogene",39375,21169,NA,NA
"215","2009","1938100","Independence",44338,7690,NA,NA
"216","2009","1938280","Indianola",50830,3659,NA,NA
"217","2009","1938415","Inwood",52083,14211,NA,NA
"218","2009","1938460","Ionia",25500,22227,NA,NA
"219","2009","1938595","Iowa City",38361,1708,NA,NA
