"GEOID","NAME","pop20","pop10","pop00","prc_change","change_label","under18E","under18M","over65E","over65M","prc_under18E","prc_under18M","prc_over65E","prc_over65M","age_label","med_ageE","med_ageM","total_unitsE","total_unitsM","occupied_unitsE","occupied_unitsM","vacant_unitsE","vacant_unitsM","owner_occupiedE","owner_occupiedM","renter_occupiedE","renter_occupiedM","median_house_valueE","median_house_valueM","median_year_builtE","median_year_builtM","median_house_ageE","median_house_ageM","home_ownership_rateE","home_ownership_rateM","vacancy_rateE","vacancy_rateM","rental_rateE","rental_rateM","Residential","Ag.Land","Ag.Building","Commercial","Industrial","total_workforceE","total_workforceM","unemployedE","unemployedM","prc_unemployed","unemployed_moe","totalE","totalM","travelE","travelM","prc_travel","travel_moe"
"1954750","Mount Sterling CDP",33,NA,NA,NA,NA,0,28.2842712474619,25,7.45863420637366,0,1.13137084989848,1,0.983570007045345,"Aging",NA,NA,11,15,11,15,0,10,11,15,0,10,11,15,NA,NA,NA,NA,1,1.92847303959967,0,0.909090909090909,0,0.909090909090909,NA,NA,NA,NA,NA,25,33,0,10,0,0.4,25,33,11,15,0.44,0.835062057574166
"1954795","Mount Union CDP",120,NA,NA,NA,NA,47,22.1359436211787,12,6.25276670667139,0.394957983193277,0.231810613813899,0.100840336134454,0.0633104195801718,"Young",26.8,15.5,45,17,40,16,5,7,37,17,3,5,40,16,NA,NA,NA,NA,0.925,0.563493566955294,0.111111111111111,0.161119388652597,0.075,0.128549601321824,NA,NA,NA,NA,NA,60,26,3,5,0.05,0.0861039423539299,57,26,53,25,0.929824561403509,0.610125859625524
"1954840","Mount Vernon",4527,4506,3390,0.25115970841617,"Growing",1132,255.736192198132,408,13.7217697984117,0.251667407736772,0.0587995585696854,0.0907069808803913,0.00620595394285735,"Young",22.4,5.4,1377,167,1271,161,106,107,978,128,293,140,1271,161,1981,9,42,9,0.769472856018883,0.140152201623603,0.0769789397240378,0.0782639739759074,0.230527143981117,0.113954493462639,NA,NA,NA,NA,NA,2113,196,123,99,0.0582110743019404,0.0471629316161405,1885,187,1084,208,0.575066312997347,0.124219851580461
"1954930","Moville",1687,1618,1583,0.0616478956727919,"Growing",449,84.5281018360166,215,7.69142272998011,0.262266355140187,0.0555954223797749,0.125584112149533,0.0130355674671088,"Young",33.3,3.3,706,79,685,78,21,21,548,69,137,45,685,78,1970,8,53,8,0.8,0.135811624215667,0.0297450424929178,0.0299306844975315,0.2,0.0695289096261587,102034020,117189,25465,16241225,64818,989,133,19,13,0.019211324570273,0.0133960763068929,986,152,741,124,0.751521298174442,0.17099035238263
"1955065","Murray",684,756,766,-0.119883040935673,"Shrinking",199,58.7537232862735,112,6.60103639258039,0.29745889387145,0.0993965906210023,0.167414050822123,0.027994687667016,"Young",33.1,6.5,307,55,254,52,53,25,189,46,65,27,254,52,1953,27,70,27,0.744094488188976,0.236651232777266,0.172638436482085,0.0871088698338685,0.255905511811024,0.118508420282807,31413854,41455179,2646442,4001217,570600,326,79,17,14,0.0521472392638037,0.0447654556324215,304,75,271,72,0.891447368421053,0.323207588956538
"1955110","Muscatine",23797,22886,22697,0.0462243139891583,"Growing",6028,490.450813028177,3532,22.2291645374608,0.253714381918431,0.0213640779630988,0.148659455364283,0.00335831382028924,"Young",36.3,1,10268,280,9210,317,1058,248,6031,369,3179,319,9210,317,1958,4,65,4,0.654831704668838,0.0459696645785284,0.103038566419945,0.0243155943393691,0.345168295331162,0.036617132680422,1429442048,12007149,500632,699529783,393828345,11942,441,521,174,0.0436275330765366,0.0146592253078235,11186,462,3551,396,0.317450384409083,0.0377513279342808
"1955200","Mystic",322,425,588,-0.826086956521739,"Shrinking",98,49.5782210249622,56,5.77306079661608,0.29080118694362,0.162507767585434,0.166172106824926,0.0430064940877374,"Young",36.8,9.3,162,36,132,33,30,19,113,33,19,14,132,33,1953,26,70,26,0.856060606060606,0.329093429101909,0.185185185185185,0.124294142473572,0.143939393939394,0.111998935166458,NA,NA,NA,NA,NA,156,49,13,13,0.0833333333333333,0.0873475028571941,141,43,134,42,0.950354609929078,0.415603352010565
"1955335","Nashua",1551,1663,1618,-0.0431979368149581,"Shrinking",393,86.2264460591993,236,8.27253663606971,0.261129568106312,0.0648141843520466,0.156810631229236,0.0190100564154188,"Young",36.2,3.6,754,96,656,95,98,38,512,82,144,47,656,95,1956,5,67,5,0.780487804878049,0.168523943816774,0.129973474801061,0.0530452061097401,0.219512195121951,0.0783820514532394,78083734,1656658,68538,13235337,1539000,814,129,16,19,0.0196560196560197,0.0235484620189885,788,126,584,112,0.741116751269036,0.185052870623234
"1955515","Nemaha",66,85,102,-0.545454545454545,"Shrinking",46,20.5182845286832,15,5.81417550276896,0.422018348623853,0.235152812781725,0.137614678899083,0.0704078213409021,"Young",29.4,14.8,35,12,35,12,0,10,27,9,8,8,35,12,1951,24,72,24,0.771428571428571,0.368886569455343,0,0.285714285714286,0.228571428571429,0.241632653061225,1553940,98112,0,7312789,0,36,20,2,4,0.0555555555555556,0.115318158594256,34,18,31,16,0.911764705882353,0.674130235972976
"1955560","Neola",918,842,845,0.079520697167756,"Growing",318,86.191646927066,139,6.66276017025917,0.321212121212121,0.10108235684474,0.14040404040404,0.023436703009929,"Young",37.8,9.9,385,61,377,60,8,10,249,49,128,39,377,60,1943,14,80,14,0.660477453580902,0.167159894496069,0.0207792207792208,0.0261818489172476,0.339522546419098,0.116710634624085,57801959,413200,38768,7700455,3298860,468,83,3,4,0.00641025641025641,0.00862228564006707,446,81,349,68,0.782511210762332,0.208429224808464
"1955695","Nevada",6925,6798,6658,0.0385559566787004,"Growing",1819,266.281805612024,1192,17.5034903300503,0.259227590138236,0.0392648800340837,0.169873165170301,0.00706278889978148,"Young",40.3,2.3,3267,203,3083,174,184,100,2268,205,815,154,3083,174,1972,3,51,3,0.735647096983458,0.0783914739581127,0.0563207835935109,0.0308085274146698,0.264352903016542,0.0521318917201356,367892482,3092092,1819,103873230,80040240,3463,249,76,65,0.021946289344499,0.018836068232024,3204,267,2253,247,0.703183520599251,0.0968340968624255
"1955785","New Albin",432,522,527,-0.219907407407407,"Shrinking",113,48.8057373676497,98,7.50386849566067,0.240938166311301,0.114616198099939,0.208955223880597,0.0446281985327296,"Young",47.2,13.3,196,42,190,40,6,11,155,39,35,24,190,40,1964,7,59,7,0.815789473684211,0.267636621833064,0.0306122448979592,0.0565045114965432,0.184210526315789,0.132134996529022,NA,NA,NA,NA,NA,222,74,0,10,0,0.045045045045045,217,76,168,68,0.774193548387097,0.414387805849554
"1955965","Newell",906,876,887,0.0209713024282561,"Growing",274,88.068155425216,152,6.74380480362558,0.315304948216341,0.11385591984966,0.174913693901036,0.0298131190043848,"Young",37.1,7.8,336,61,317,59,19,16,246,50,71,32,317,59,1952,6,71,6,0.77602523659306,0.21386781924927,0.056547619047619,0.0487131010069188,0.22397476340694,0.109214951184945,33330513,675555,16245,9093807,12078864,425,81,16,15,0.0376470588235294,0.0360160604014569,398,75,320,59,0.804020100502513,0.211969660355977
"1956055","Newhall",876,875,886,-0.0114155251141553,"Stable",353,73.8985791473693,180,7.6969371469589,0.30695652173913,0.0777369193726216,0.156521739130435,0.0232892870375772,"Young",35.1,5.9,497,82,449,76,48,29,347,52,102,47,449,76,1967,5,56,5,0.7728285077951,0.174712998444038,0.096579476861167,0.0604867510943998,0.2271714922049,0.111516177529217,56121520,0,0,7187437,0,575,123,25,20,0.0434782608695652,0.0360045888214354,543,121,487,100,0.896869244935543,0.271767589603309
"1956100","New Hampton",3494,3571,3692,-0.0566685746994848,"Shrinking",906,134.922199804183,666,13.5936204565688,0.262456546929316,0.0408045782325127,0.192931633835458,0.00947268216006942,"Young",41.8,6.2,1662,112,1466,110,196,103,1102,118,364,105,1466,110,1962,6,61,6,0.751705320600273,0.0982862216802967,0.117930204572804,0.0624809994297708,0.248294679399727,0.0740068840372433,NA,NA,NA,NA,NA,1876,148,71,60,0.0378464818763326,0.0321220072348653,1706,184,534,92,0.313012895662368,0.0636229953143204
"1956145","New Hartford",570,516,659,-0.156140350877193,"Shrinking",237,76.2364742101837,125,8.34391582895821,0.311023622047244,0.117780357739597,0.164041994750656,0.0345601647325574,"Young",37.8,5.7,293,63,270,62,23,17,196,59,74,29,270,62,1958,14,65,14,0.725925925925926,0.274840438097077,0.0784982935153584,0.060425645925691,0.274074074074074,0.124487878389078,NA,NA,NA,NA,NA,344,99,24,17,0.0697674418604651,0.053341742249425,297,82,257,78,0.865319865319865,0.355035879720564
"1956190","New Haven CDP",77,91,NA,NA,NA,17,30.4138126514911,8,6.99927102316117,0.354166666666667,0.684545468447784,0.166666666666667,0.190074677913397,"Young",42.5,34.5,15,11,15,11,0,10,15,11,0,10,15,11,NA,NA,NA,NA,1,1.03708994574027,0,0.666666666666667,0,0.666666666666667,NA,NA,NA,NA,NA,8,11,0,10,0,1.25,8,11,8,11,1,1.94454364826301
"1956280","New Liberty",138,137,121,0.123188405797101,"Growing",41,20.1246117974981,15,5.30297389555057,0.317829457364341,0.187025891768663,0.116279069767442,0.0558050882378854,"Young",35.6,10.2,58,20,53,18,5,6,38,16,15,13,53,18,1955,26,68,26,0.716981132075472,0.387852238774923,0.0862068965517241,0.107634620524455,0.283018867924528,0.263443997526933,NA,NA,NA,NA,NA,71,29,2,3,0.028169014084507,0.043792009696938,69,29,52,22,0.753623188405797,0.449425919699969
"1956325","New London",1910,1897,1937,-0.0141361256544503,"Stable",704,118.368070018903,347,9.39401442806184,0.277712031558185,0.054696455534427,0.136883629191321,0.0145211849413216,"Young",33.6,3.6,913,90,865,97,48,35,633,89,232,53,865,97,1955,5,68,5,0.731791907514451,0.131607730531369,0.0525739320920044,0.0386838863627175,0.268208092485549,0.0682555128629635,NA,NA,NA,NA,NA,1284,172,76,43,0.059190031152648,0.0344149207438798,1201,173,895,142,0.745212323064113,0.159694981574939
"1956370","New Market",385,415,456,-0.184415584415584,"Shrinking",61,25.4950975679639,82,5.51223877484006,0.152882205513784,0.068067235723099,0.205513784461153,0.034426730403696,"Aging",49.2,11,211,40,186,38,25,19,150,32,36,16,186,38,1941,11,82,11,0.806451612903226,0.238210627624719,0.118483412322275,0.0928064842367284,0.193548387096774,0.0946746032879374,NA,NA,NA,NA,NA,234,52,4,7,0.0170940170940171,0.0301547508248954,199,44,151,33,0.758793969849246,0.235896728796724
"1956415","New Providence",236,228,227,0.038135593220339,"Growing",68,29.4788059459674,56,5.67360586164008,0.275303643724696,0.136924857054749,0.226720647773279,0.0598553071950969,"Young",36.6,8,103,30,96,29,7,8,78,25,18,17,96,29,NA,NA,NA,NA,0.8125,0.357853270701526,0.0679611650485437,0.0801525832808079,0.1875,0.185921132055598,NA,NA,NA,NA,NA,112,35,5,7,0.0446428571428571,0.0640380934406349,107,33,106,33,0.990654205607477,0.434125979608335
"1956460","New Sharon",1262,1293,1301,-0.0309033280507132,"Shrinking",207,49.2645917470144,233,9.36595624408498,0.178602243313201,0.0486160080684107,0.201035375323555,0.0277613413498226,"Aging",41.8,8.1,614,92,512,84,102,56,434,69,78,48,512,84,1958,7,65,7,0.84765625,0.19365394435804,0.166123778501629,0.0945408798098861,0.15234375,0.0970245193828429,NA,NA,NA,NA,NA,635,125,20,16,0.031496062992126,0.0259484377857897,604,118,462,101,0.764900662251656,0.224260187796147
"1956505","Newton",15760,15254,15579,0.0114847715736041,"Stable",3757,340.152906793401,3213,22.2046871133818,0.239482406935237,0.0222630841397809,0.204806221315655,0.00454621020087653,"Young",40.6,2.6,7310,251,6337,272,973,253,4394,287,1943,298,6337,272,1963,2,60,2,0.693388038504024,0.0541933519630357,0.133105335157319,0.0349105850322817,0.306611961495976,0.0488322548956922,758165707,4446906,185033,244799649,70076547,7540,426,454,183,0.0602122015915119,0.0245078135902926,7040,392,2960,429,0.420454545454545,0.0652800533458415
"1956550","New Vienna",382,407,400,-0.0471204188481675,"Shrinking",78,24.2074368738204,85,5.41974924101279,0.185273159144893,0.0614907303826437,0.201900237529691,0.0270122842774697,"Stable",45.5,6.3,186,30,181,32,5,7,159,32,22,12,181,32,1962,5,61,5,0.878453038674033,0.235322803137492,0.0268817204301075,0.0378833411594311,0.121546961325967,0.0696939442394213,NA,NA,NA,NA,NA,277,49,4,6,0.0144404332129964,0.0218107528335909,273,49,233,48,0.853479853479853,0.23319716133298
"1956595","New Virginia",498,489,469,0.0582329317269076,"Growing",155,47.021271782035,87,5.90323960954485,0.329087048832272,0.119854483931669,0.184713375796178,0.0392787461351978,"Young",35.7,2.9,176,34,158,35,18,16,109,24,49,24,158,35,1956,9,67,9,0.689873417721519,0.215469711222608,0.102272727272727,0.0930312367041653,0.310126582278481,0.166711631089691,NA,NA,NA,NA,NA,205,59,8,7,0.0390243902439024,0.035946031813234,196,59,161,52,0.821428571428571,0.362668155636763
"1956685","Nichols",340,374,374,-0.1,"Shrinking",93,44.5982062419555,70,5.95086162840801,0.235443037974684,0.133247874168239,0.177215189873418,0.0553502818809899,"Young",41.2,7.8,196,74,143,39,53,67,119,31,24,24,143,39,NA,NA,NA,NA,0.832167832167832,0.313852629529845,0.270408163265306,0.356756652240518,0.167832167832168,0.173961921184865,99629586,6409719,754182,18744312,3067533,219,84,6,6,0.0273972602739726,0.0293434702336527,200,76,180,72,0.9,0.496552112068814
"1956865","Nodaway",74,114,132,-0.783783783783784,"Shrinking",11,16.2172747402269,18,5.84256241339459,0.192982456140351,0.292949860073831,0.315789473684211,0.153463960399324,"Aging",55.3,14,35,13,25,10,10,10,22,8,3,3,25,10,NA,NA,NA,NA,0.88,0.475714199914192,0.285714285714286,0.304786199226032,0.12,0.129243955371228,0,312587,7090,0,0,26,13,2,4,0.0769230769230769,0.158580985600679,24,13,24,13,1,0.766032346285426
"1956910","Nora Springs",1369,1431,1532,-0.119065010956903,"Shrinking",416,102.024506859872,329,10.2352715335422,0.26530612244898,0.0736747893963499,0.209821428571429,0.0280999923429284,"Young",41.1,6.9,685,89,609,79,76,39,516,71,93,45,609,79,1964,12,59,12,0.847290640394089,0.160226236965112,0.110948905109489,0.0587308689059734,0.152709359605911,0.0765009289713795,NA,NA,NA,NA,NA,718,120,0,10,0,0.0139275766016713,694,117,569,106,0.819884726224784,0.205995920993249
"1957045","Northboro",52,58,60,-0.153846153846154,"Shrinking",17,29.0172362570938,8,6.40217174588736,0.236111111111111,0.436341441323759,0.111111111111111,0.118747087500792,"Young",37,11.9,36,23,32,24,4,4,31,23,1,3,32,24,NA,NA,NA,NA,0.96875,1.02200520003875,0.111111111111111,0.131851909649962,0.03125,0.0966352881004139,1258127,158826,0,37971,0,47,48,0,10,0,0.212765957446809,47,48,43,48,0.914893617021277,1.38420859903012
"1957135","North Buena Vista",109,121,124,-0.137614678899083,"Shrinking",20,18.6547581061776,24,5.2147452773945,0.185185185185185,0.180430045729221,0.222222222222222,0.0790420725500442,"Aging",58.4,17.6,127,37,51,17,76,31,46,17,5,11,51,17,1986,6,37,6,0.901960784313726,0.448891629639027,0.598425196850394,0.299963449579985,0.0980392156862745,0.218147964291224,NA,NA,NA,NA,NA,39,25,5,7,0.128205128205128,0.197407335282187,34,22,29,19,0.852941176470588,0.785417586047935
