Address,City,Source,City ID,Image Name,image url,API Key,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 701 BENTON CIR ,Slater,G,S,G_S_701 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 637 GREENE ST ,Slater,G,S,G_S_637 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=637+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 705 TAMA CIR ,Slater,G,S,G_S_705 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+TAMA+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 608 8TH AVE ,Slater,G,S,G_S_608 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 604 8TH AVE ,Slater,G,S,G_S_604 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 202 8TH AVE ,Slater,G,S,G_S_202 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 104 8TH AVE ,Slater,G,S,G_S_104 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 706 MARSHALL ST ,Slater,G,S,G_S_706 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 900 FOUR MILE DR ,Slater,G,S,G_S_900 FOUR MILE DR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=900+FOUR+MILE+DR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 638 GREENE ST ,Slater,G,S,G_S_638 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=638+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 700 TAMA CIR ,Slater,G,S,G_S_700 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+TAMA+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 705 BENTON CIR ,Slater,G,S,G_S_705 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 700 BENTON CIR ,Slater,G,S,G_S_700 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+BENTON+CIR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 610 8TH AVE ,Slater,G,S,G_S_610 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 204 8TH AVE ,Slater,G,S,G_S_204 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 614 8TH AVE ,Slater,G,S,G_S_614 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 708 MARSHALL ST ,Slater,G,S,G_S_708 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 101 8TH AVE ,Slater,G,S,G_S_101 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 100 8TH AVE ,Slater,G,S,G_S_100 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+8TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 305 9TH AVE ,Slater,G,S,G_S_305 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 804 S CARROLL ST ,Slater,G,S,G_S_804 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=804+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 605 MARSHALL ST ,Slater,G,S,G_S_605 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=605+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 807 S CARROLL ST ,Slater,G,S,G_S_807 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=807+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 811 S CARROLL ST ,Slater,G,S,G_S_811 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=811+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 108 10TH AVE ,Slater,G,S,G_S_108 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=108+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 612 GREENE ST ,Slater,G,S,G_S_612 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=612+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 809 S CARROLL ST ,Slater,G,S,G_S_809 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=809+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 608 MARSHALL ST ,Slater,G,S,G_S_608 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 805 S CARROLL ST ,Slater,G,S,G_S_805 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=805+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 802 S CARROLL ST ,Slater,G,S,G_S_802 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=802+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 607 GREENE ST ,Slater,G,S,G_S_607 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=607+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 611 GREENE ST ,Slater,G,S,G_S_611 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=611+GREENE+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 607 MARSHALL ST ,Slater,G,S,G_S_607 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=607+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 606 MARSHALL ST ,Slater,G,S,G_S_606 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=606+MARSHALL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 806 S CARROLL ST ,Slater,G,S,G_S_806 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=806+S+CARROLL+ST,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 106 10TH AVE ,Slater,G,S,G_S_106 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=106+10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 102 10TH AVE REAR ,Slater,G,S,G_S_102 10TH AVE REAR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+10TH+AVE+REAR,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 10TH AVE ,Slater,G,S,G_S_10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=10TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
 203 9TH AVE ,Slater,G,S,G_S_203 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=203+9TH+AVE,+SLATER+IOWA",,,,,,,,,,,,,,,,,,
