address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,False,roof,roof_confidence,img_used
303 I AVE,Grundy Center,Iowa,G,G,G_D_303 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=303+I+AVE,Grundy+Center+Iowa",-92.7664108,42.3597459,,,,,,,,,,,,,,,,,,True,,True,garden_present,44.33,poor_siding,36.93,good_gutter,55.52,,good_roof,58.53,G_G_303 I AVE_
301 I AVE,Grundy Center,Iowa,G,G,G_D_301 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=301+I+AVE,Grundy+Center+Iowa",-92.7662163,42.359789,,,,,,,,,,,,,,,,,,True,,True,garden_present,44.12,poor_siding,36.41,good_gutter,55.83,,bad_roof,51.38,W_G_301 I AVE_
1206 4TH ST,Grundy Center,Iowa,G,G,G_D_1206 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1206+4TH+ST,Grundy+Center+Iowa",-92.768083,42.3562098,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
505 I AVE,Grundy Center,Iowa,G,G,G_D_505 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=505+I+AVE,Grundy+Center+Iowa",-92.770572,42.3597609,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
212 K AVE,Grundy Center,Iowa,G,G,G_D_212 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=212+K+AVE,Grundy+Center+Iowa",-92.7660608,42.3575262,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.0,poor_siding,34.13,good_gutter,65.74,,bad_roof,52.5,G_G_212 K AVE_
1208 5TH ST,Grundy Center,Iowa,G,G,G_D_1208 5TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1208+5TH+ST,Grundy+Center+Iowa",-92.7697747,42.3560731,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
808 FROST ST,Grundy Center,Iowa,G,G,G_D_808 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=808+FROST+ST,Grundy+Center+Iowa",-92.7671302,42.3598246,,,,,,,,,,,,,,,,,,True,,True,garden_present,42.74,poor_siding,35.84,good_gutter,65.0,,good_roof,54.11,G_G_808 FROST ST_
307 I AVE,Grundy Center,Iowa,G,G,G_D_307 I AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=307+I+AVE,Grundy+Center+Iowa",-92.7669163,42.3597721,,,,,,,,,,,,,,,,,,True,,True,no_garden,40.26,poor_siding,37.8,poor/no_gutter,72.25,,bad_roof,51.96,W_G_307 I AVE_
310 E M Ave,Grundy Center,Iowa,G,G,G_D_310 E M Ave.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+E+M+Ave,Grundy+Center+Iowa",-92.7780334,42.3687752,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
501 HYDE AVE,Grundy Center,Iowa,G,G,G_D_501 HYDE AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=501+HYDE+AVE,Grundy+Center+Iowa",-92.7702608,42.3545054,,,,,,,,,,,,,,,,,,True,,True,garden_present,43.44,poor_siding,37.25,good_gutter,65.07,,bad_roof,54.83,W_G_501 HYDE AVE_
302 H AVE,Grundy Center,Iowa,G,G,G_D_302 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+H+AVE,Grundy+Center+Iowa",-92.7661799,42.3603263,,,,,,,,,,,,,,,,,,True,,True,garden_present,39.66,poor_siding,37.51,good_gutter,67.36,,good_roof,52.24,W_G_302 H AVE_
314 H AVE,Grundy Center,Iowa,G,G,G_D_314 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=314+H+AVE,Grundy+Center+Iowa",-92.7677719,42.3603277,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.27,chipped_paint,36.0,good_gutter,69.47,,bad_roof,53.64,G_G_314 H AVE_
411 Hyde Ave,Grundy Center,Iowa,G,G,G_D_411 Hyde Ave.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=411+Hyde+Ave,Grundy+Center+Iowa",-92.7695997,42.354483,,,,,,,,,,,,,,,,,,True,,True,garden_present,41.18,good_siding,37.1,good_gutter,72.15,,good_roof,54.47,W_G_411 HYDE AVE_
403 H AVE,Grundy Center,Iowa,G,G,G_D_403 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=403+H+AVE,Grundy+Center+Iowa",-92.7690747,42.3606997,,,,,,,,,,,,,,,,,,True,,False,no_garden,39.45,poor_siding,35.48,good_gutter,57.97,,bad_roof,59.69,G_G_403 H AVE_
708 5TH ST,Grundy Center,Iowa,G,G,G_D_708 5TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+5TH+ST,Grundy+Center+Iowa",-92.7696858,42.3607574,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
302 E H AVE,Grundy Center,Iowa,G,G,G_D_302 E H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=302+E+H+AVE,Grundy+Center+Iowa",-92.7661799,42.3603263,,,,,,,,,,,,,,,,,,True,,False,garden_present,40.68,poor_siding,35.6,good_gutter,67.67,,bad_roof,50.45,G_G_302 E H AVE_
310 G AVE,Grundy Center,Iowa,G,G,G_D_310 G AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=310+G+AVE,Grundy+Center+Iowa",-92.767214,42.361311,,,,,,,,,,,,,,,,,,True,,True,no_garden,40.0,chipped_paint,35.8,good_gutter,70.52,,good_roof,51.81,G_G_310 G AVE_
1204 4TH ST,Grundy Center,Iowa,G,G,G_D_1204 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1204+4TH+ST,Grundy+Center+Iowa",-92.768083,42.3564019,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.34,poor_siding,36.63,poor/no_gutter,70.91,,good_roof,55.67,G_G_1204 4TH ST_
1202 4TH ST,Grundy Center,Iowa,G,G,G_D_1202 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1202+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3566521,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.71,poor_siding,36.3,poor/no_gutter,69.72,,good_roof,54.34,G_G_1202 4TH ST_
803 FROST ST,Grundy Center,Iowa,G,G,G_D_803 FROST ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=803+FROST+ST,Grundy+Center+Iowa",-92.7675774,42.3601404,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
1104 4TH ST,Grundy Center,Iowa,G,G,G_D_1104 4TH ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1104+4TH+ST,Grundy+Center+Iowa",-92.7680635,42.3571131,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.37,poor_siding,39.56,good_gutter,62.66,,good_roof,54.36,G_G_1104 4TH ST_
212 J AVE,Grundy Center,Iowa,G,G,G_D_212 J AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=212+J+AVE,Grundy+Center+Iowa",-92.7658791,42.3584469,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,,0.0,
202 K AVE,Grundy Center,Iowa,G,G,G_D_202 K AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+K+AVE,Grundy+Center+Iowa",-92.7649525,42.3574953,,,,,,,,,,,,,,,,,,True,,False,garden_present,44.36,poor_siding,36.22,poor/no_gutter,59.45,,good_roof,54.88,G_G_202 K AVE_
313 H AVE,Grundy Center,Iowa,G,G,G_D_313 H AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=313+H+AVE,Grundy+Center+Iowa",-92.7677719,42.3607119,,,,,,,,,,,,,,,,,,True,,False,no_garden,39.15,poor_siding,35.24,poor/no_gutter,55.19,,good_roof,61.13,G_G_313 H AVE_
502 BUTLER AVE,Grundy Center,Iowa,G,G,G_D_502 BUTLER AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=502+BUTLER+AVE,Grundy+Center+Iowa",-92.7702608,42.3548512,,,,,,,,,,,,,,,,,,True,,True,garden_present,40.06,chipped_paint,35.27,good_gutter,69.15,,good_roof,54.88,G_G_502 BUTLER AVE_
