Address,City,State,Source,City.ID,Image.Name,image.url,Full_Address,lon,lat,parcel_number,date,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 701 BENTON CIR ,Slater,Iowa,G,S,G_S_701 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+BENTON+CIR,Slater+Iowa"," 701 BENTON CIR , Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 637 GREENE ST ,Slater,Iowa,G,S,G_S_637 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=637+GREENE+ST,Slater+Iowa"," 637 GREENE ST , Slater, Iowa",-93.6856592,41.8756012,,,,,,,,,,,,,,,,,
 705 TAMA CIR ,Slater,Iowa,G,S,G_S_705 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+TAMA+CIR,Slater+Iowa"," 705 TAMA CIR , Slater, Iowa",-93.6812211,41.8754333,,,,,,,,,,,,,,,,,
 608 8TH AVE ,Slater,Iowa,G,S,G_S_608 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+8TH+AVE,Slater+Iowa"," 608 8TH AVE , Slater, Iowa",-93.6861347,41.8751211,,,,,,,,,,,,,,,,,
 604 8TH AVE ,Slater,Iowa,G,S,G_S_604 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+8TH+AVE,Slater+Iowa"," 604 8TH AVE , Slater, Iowa",-93.6855007,41.8749089,,,,,,,,,,,,,,,,,
 202 8TH AVE ,Slater,Iowa,G,S,G_S_202 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+8TH+AVE,Slater+Iowa"," 202 8TH AVE , Slater, Iowa",-93.6803494,41.8749188,,,,,,,,,,,,,,,,,
 104 8TH AVE ,Slater,Iowa,G,S,G_S_104 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+8TH+AVE,Slater+Iowa"," 104 8TH AVE , Slater, Iowa",-93.6795371,41.8749254,,,,,,,,,,,,,,,,,
 706 MARSHALL ST ,Slater,Iowa,G,S,G_S_706 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+MARSHALL+ST,Slater+Iowa"," 706 MARSHALL ST , Slater, Iowa",-93.6817957,41.8756668,,,,,,,,,,,,,,,,,
 900 FOUR MILE DR ,Slater,Iowa,G,S,G_S_900 FOUR MILE DR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=900+FOUR+MILE+DR,Slater+Iowa"," 900 FOUR MILE DR , Slater, Iowa",-93.6875019,41.8755228,,,,,,,,,,,,,,,,,
 638 GREENE ST ,Slater,Iowa,G,S,G_S_638 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=638+GREENE+ST,Slater+Iowa"," 638 GREENE ST , Slater, Iowa",-93.6850252,41.8756215,,,,,,,,,,,,,,,,,
 700 TAMA CIR ,Slater,Iowa,G,S,G_S_700 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+TAMA+CIR,Slater+Iowa"," 700 TAMA CIR , Slater, Iowa",-93.6805871,41.8753761,,,,,,,,,,,,,,,,,
 705 BENTON CIR ,Slater,Iowa,G,S,G_S_705 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+BENTON+CIR,Slater+Iowa"," 705 BENTON CIR , Slater, Iowa",-93.6799531,41.8753964,,,,,,,,,,,,,,,,,
 700 BENTON CIR ,Slater,Iowa,G,S,G_S_700 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+BENTON+CIR,Slater+Iowa"," 700 BENTON CIR , Slater, Iowa",-93.679339,41.8753966,,,,,,,,,,,,,,,,,
 610 8TH AVE ,Slater,Iowa,G,S,G_S_610 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+8TH+AVE,Slater+Iowa"," 610 8TH AVE , Slater, Iowa",-93.6864518,41.8751884,,,,,,,,,,,,,,,,,
 204 8TH AVE ,Slater,Iowa,G,S,G_S_204 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+8TH+AVE,Slater+Iowa"," 204 8TH AVE , Slater, Iowa",-93.6805871,41.8749112,,,,,,,,,,,,,,,,,
 614 8TH AVE ,Slater,Iowa,G,S,G_S_614 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+8TH+AVE,Slater+Iowa"," 614 8TH AVE , Slater, Iowa",-93.6869867,41.8753844,,,,,,,,,,,,,,,,,
 708 MARSHALL ST ,Slater,Iowa,G,S,G_S_708 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+MARSHALL+ST,Slater+Iowa"," 708 MARSHALL ST , Slater, Iowa",-93.6817957,41.8753956,,,,,,,,,,,,,,,,,
 101 8TH AVE ,Slater,Iowa,G,S,G_S_101 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+8TH+AVE,Slater+Iowa"," 101 8TH AVE , Slater, Iowa",-93.6788635,41.8754893,,,,,,,,,,,,,,,,,
 100 8TH AVE ,Slater,Iowa,G,S,G_S_100 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+8TH+AVE,Slater+Iowa"," 100 8TH AVE , Slater, Iowa",-93.6787843,41.8749107,,,,,,,,,,,,,,,,,
 305 9TH AVE ,Slater,Iowa,G,S,G_S_305 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+9TH+AVE,Slater+Iowa"," 305 9TH AVE , Slater, Iowa",-93.6818353,41.874542,,,,,,,,,,,,,,,,,
