address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
2094 JAMESTOWN AVE,Independence,Iowa,G,D,G_I_2094 JAMESTOWN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=2094+JAMESTOWN+AVE,Independence+Iowa",-91.8891103,42.4837691,,,,,,,,,,,,,,,,,,True,,False,garden_present,50.92,poor_siding,36.36,poor/no_gutter,65.87,False,0.0,G_D_2094 JAMESTOWN AVE_
1403 6TH AVE NE,Independence,Iowa,G,D,G_I_1403 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1403+6TH+AVE+NE,Independence+Iowa",-91.8881948,42.4839375,,,,,,,,,,,,,,,,,,True,,False,garden_present,47.96,poor_siding,36.68,good_gutter,66.3,False,0.0,G_D_1403 6TH AVE NE_
1500 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1500 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1500+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.8886907,42.483891,,,,,,,,,,,,,,,,,,True,,False,garden_present,47.32,poor_siding,35.0,good_gutter,67.22,False,0.0,G_D_1500 NORTH RIDGE CT NE_
1402 6TH AVE NE,Independence,Iowa,G,D,G_I_1402 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1402+6TH+AVE+NE,Independence+Iowa",-91.887451,42.4839306,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.25,poor_siding,35.35,good_gutter,70.3,False,0.0,G_D_1402 6TH AVE NE_
1501 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1501 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1501+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.889034,42.4841921,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.89,poor_siding,35.69,good_gutter,69.7,False,0.0,G_D_1501 NORTH RIDGE CT NE_
1500 6TH AVE NE,Independence,Iowa,G,D,G_I_1500 6TH AVE NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1500+6TH+AVE+NE,Independence+Iowa",-91.8874319,42.4841801,,,,,,,,,,,,,,,,,,True,,False,garden_present,41.84,good_siding,37.04,good_gutter,63.66,False,0.0,G_D_1500 6TH AVE NE_
1502 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1502 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1502+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.8883665,42.4842222,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.77,poor_siding,35.88,good_gutter,67.69,False,0.0,G_D_1502 NORTH RIDGE CT NE_
1503 NORTH RIDGE CT NE,Independence,Iowa,G,D,G_I_1503 NORTH RIDGE CT NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=1503+NORTH+RIDGE+CT+NE,Independence+Iowa",-91.889034,42.4844221,,,,,,,,,,,,,,,,,,True,,False,garden_present,42.67,chipped_paint,35.39,good_gutter,65.51,False,0.0,G_D_1503 NORTH RIDGE CT NE_
502 14TH ST NE,Independence,Iowa,G,D,G_I_502 14TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=502+14TH+ST+NE,Independence+Iowa",-91.8886526,42.4835849,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.32,chipped_paint,36.4,good_gutter,66.28,False,0.0,G_D_502 14TH ST NE_
504 14TH ST NE,Independence,Iowa,G,D,G_I_504 14TH ST NE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=504+14TH+ST+NE,Independence+Iowa",-91.8883093,42.4836289,,,,,,,,,,,,,,,,,,True,,False,garden_present,45.11,poor_siding,36.29,good_gutter,68.59,False,0.0,G_D_504 14TH ST NE_
