address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,roof,roof_confidence,img_used
116 N CHESTNUT ST,New Hampton,Iowa,G,H,G_H_116 N CHESTNUT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=116+N+CHESTNUT+ST,New+Hampton+Iowa",-92.3157304,43.0607341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 E COURT ST,New Hampton,Iowa,G,H,G_H_12 E COURT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=12+E+COURT+ST,New+Hampton+Iowa",-92.3143633,43.0613113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311 W MAIN ST,New Hampton,Iowa,G,H,G_H_311 W MAIN ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=311+W+MAIN+ST,New+Hampton+Iowa",-92.3199668,43.0594356,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
102 E MAIN ST,New Hampton,Iowa,G,H,G_H_102 E MAIN ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=102+E+MAIN+ST,New+Hampton+Iowa",-92.3139397,43.0595004,,,,,,,,,,,,,,,,,,True,,False,garden_present,38.42,chipped_paint,35.95,poor/no_gutter,52.65,False,0.0,G_H_102 E MAIN ST_
508 N LINN AVE,New Hampton,Iowa,G,H,G_H_508 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=508+N+LINN+AVE,New+Hampton+Iowa",-92.3180989,43.0641924,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
9 W GARDNER ST,New Hampton,Iowa,G,H,G_H_9 W GARDNER ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=9+W+GARDNER+ST,New+Hampton+Iowa",-92.3158652,43.0649955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 W COURT ST,New Hampton,Iowa,G,H,G_H_7 W COURT ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=7+W+COURT+ST,New+Hampton+Iowa",-92.3158845,43.0613375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_213 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=213+N+WALNUT+AVE,New+Hampton+Iowa",-92.3162888,43.061841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 N LINN AVE,New Hampton,Iowa,G,H,G_H_22 N LINN AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=22+N+LINN+AVE,New+Hampton+Iowa",-92.318209,43.059937,,,,,,,,,,,,,,,,,,False,house_present,False,,0.0,,0.0,,0.0,,0.0,
316 N WALNUT AVE,New Hampton,Iowa,G,H,G_H_316 N WALNUT AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=316+N+WALNUT+AVE,New+Hampton+Iowa",-92.316905,43.0627383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
