address,city,state,source,city_id,image_name,image_url,lon,lat,date,parcel_num,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county,clear_image,test_failed,rand_select,vegetation,vegetation_confidence,siding,siding_confidence,gutter,gutter_confidence,FALSE,roof,roof_confidence,img_used
701 BENTON CIR,Slater,Iowa,G,S,G_S_701 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+BENTON+CIR,Slater+Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
637 GREENE ST,Slater,Iowa,G,S,G_S_637 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=637+GREENE+ST,Slater+Iowa",-93.6856592,41.8756012,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,44.61,poor_siding,37.23,good_gutter,64.46,,FALSE,0,G_S_637 GREENE ST_
705 TAMA CIR,Slater,Iowa,G,S,G_S_705 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+TAMA+CIR,Slater+Iowa",-93.6812211,41.8754333,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,39.67,poor_siding,36.63,good_gutter,68.12,,FALSE,0,G_S_705 TAMA CIR_
608 8TH AVE,Slater,Iowa,G,S,G_S_608 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+8TH+AVE,Slater+Iowa",-93.6861347,41.8751211,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,40.06,chipped_paint,36.24,good_gutter,67.95,,FALSE,0,G_S_608 8TH AVE_
604 8TH AVE,Slater,Iowa,G,S,G_S_604 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+8TH+AVE,Slater+Iowa",-93.6855007,41.8749089,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,39.97,poor_siding,37.16,good_gutter,68.12,,FALSE,0,G_S_604 8TH AVE_
202 8TH AVE,Slater,Iowa,G,S,G_S_202 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+8TH+AVE,Slater+Iowa",-93.6803494,41.8749188,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,47.64,poor_siding,40.88,poor/no_gutter,55.62,,FALSE,0,G_S_202 8TH AVE_
104 8TH AVE,Slater,Iowa,G,S,G_S_104 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+8TH+AVE,Slater+Iowa",-93.6795371,41.8749254,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,49.36,poor_siding,37.93,poor/no_gutter,55.37,,FALSE,0,G_S_104 8TH AVE_
706 MARSHALL ST,Slater,Iowa,G,S,G_S_706 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+MARSHALL+ST,Slater+Iowa",-93.6817957,41.8756668,,,,,,,,,,,,,,,,,,TRUE,,FALSE,garden_present,45.95,poor_siding,37.03,good_gutter,55.08,,FALSE,0,G_S_706 MARSHALL ST_
900 FOUR MILE DR,Slater,Iowa,G,S,G_S_900 FOUR MILE DR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=900+FOUR+MILE+DR,Slater+Iowa",-93.6875019,41.8755228,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
638 GREENE ST,Slater,Iowa,G,S,G_S_638 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=638+GREENE+ST,Slater+Iowa",-93.6850252,41.8756215,,,,,,,,,,,,,,,,,,FALSE,house_present,FALSE,,0,,0,,0,,,0,
