Address,City,State,Source,City.ID,Image.Name,image.url,Full_Address,lon,lat,parcel_number,date,floors_num,bedrooms_num,bathrooms_num,basement,heating,cooling,yr_built,own_v_rent,age_tenants,tenants_num,type_property,sqft,curr_price,prev_price,county
 701 BENTON CIR ,Slater,Iowa,G,S,G_S_701 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=701+BENTON+CIR,Slater+Iowa"," 701 BENTON CIR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 637 GREENE ST ,Slater,Iowa,G,S,G_S_637 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=637+GREENE+ST,Slater+Iowa"," 637 GREENE ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 705 TAMA CIR ,Slater,Iowa,G,S,G_S_705 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+TAMA+CIR,Slater+Iowa"," 705 TAMA CIR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 608 8TH AVE ,Slater,Iowa,G,S,G_S_608 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+8TH+AVE,Slater+Iowa"," 608 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 604 8TH AVE ,Slater,Iowa,G,S,G_S_604 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=604+8TH+AVE,Slater+Iowa"," 604 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 202 8TH AVE ,Slater,Iowa,G,S,G_S_202 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=202+8TH+AVE,Slater+Iowa"," 202 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 104 8TH AVE ,Slater,Iowa,G,S,G_S_104 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=104+8TH+AVE,Slater+Iowa"," 104 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 706 MARSHALL ST ,Slater,Iowa,G,S,G_S_706 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=706+MARSHALL+ST,Slater+Iowa"," 706 MARSHALL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 900 FOUR MILE DR ,Slater,Iowa,G,S,G_S_900 FOUR MILE DR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=900+FOUR+MILE+DR,Slater+Iowa"," 900 FOUR MILE DR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 638 GREENE ST ,Slater,Iowa,G,S,G_S_638 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=638+GREENE+ST,Slater+Iowa"," 638 GREENE ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 700 TAMA CIR ,Slater,Iowa,G,S,G_S_700 TAMA CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+TAMA+CIR,Slater+Iowa"," 700 TAMA CIR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 705 BENTON CIR ,Slater,Iowa,G,S,G_S_705 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=705+BENTON+CIR,Slater+Iowa"," 705 BENTON CIR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 700 BENTON CIR ,Slater,Iowa,G,S,G_S_700 BENTON CIR.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=700+BENTON+CIR,Slater+Iowa"," 700 BENTON CIR Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 610 8TH AVE ,Slater,Iowa,G,S,G_S_610 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=610+8TH+AVE,Slater+Iowa"," 610 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 204 8TH AVE ,Slater,Iowa,G,S,G_S_204 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=204+8TH+AVE,Slater+Iowa"," 204 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 614 8TH AVE ,Slater,Iowa,G,S,G_S_614 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=614+8TH+AVE,Slater+Iowa"," 614 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 708 MARSHALL ST ,Slater,Iowa,G,S,G_S_708 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=708+MARSHALL+ST,Slater+Iowa"," 708 MARSHALL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 101 8TH AVE ,Slater,Iowa,G,S,G_S_101 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=101+8TH+AVE,Slater+Iowa"," 101 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 100 8TH AVE ,Slater,Iowa,G,S,G_S_100 8TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=100+8TH+AVE,Slater+Iowa"," 100 8TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 305 9TH AVE ,Slater,Iowa,G,S,G_S_305 9TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=305+9TH+AVE,Slater+Iowa"," 305 9TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 804 S CARROLL ST ,Slater,Iowa,G,S,G_S_804 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=804+S+CARROLL+ST,Slater+Iowa"," 804 S CARROLL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 605 MARSHALL ST ,Slater,Iowa,G,S,G_S_605 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=605+MARSHALL+ST,Slater+Iowa"," 605 MARSHALL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 807 S CARROLL ST ,Slater,Iowa,G,S,G_S_807 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=807+S+CARROLL+ST,Slater+Iowa"," 807 S CARROLL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 811 S CARROLL ST ,Slater,Iowa,G,S,G_S_811 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=811+S+CARROLL+ST,Slater+Iowa"," 811 S CARROLL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 108 10TH AVE ,Slater,Iowa,G,S,G_S_108 10TH AVE.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=108+10TH+AVE,Slater+Iowa"," 108 10TH AVE Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 612 GREENE ST ,Slater,Iowa,G,S,G_S_612 GREENE ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=612+GREENE+ST,Slater+Iowa"," 612 GREENE ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 809 S CARROLL ST ,Slater,Iowa,G,S,G_S_809 S CARROLL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=809+S+CARROLL+ST,Slater+Iowa"," 809 S CARROLL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
 608 MARSHALL ST ,Slater,Iowa,G,S,G_S_608 MARSHALL ST.png,"https://maps.googleapis.com/maps/api/streetview?size=800x800&location=608+MARSHALL+ST,Slater+Iowa"," 608 MARSHALL ST Slater, Iowa",-93.6792994,41.8756303,,,,,,,,,,,,,,,,,
