fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,record_type,rn_type,rn_condition_structure,rn_poor_features,rn_poor_features_other,rn_condition_lot,rn_junk,rn_sidewalk,ai_gutter,ai_roof,ai_siding,ai_landscape,ai_photo,ai_photo_obstruction,ri_sidewalk,ri_sidewalk_condition,ri_accessibility,ri_trees,ri_street_lights,ri_wayfinding,ri_drainage_type,ri_ditch_condition,ri_curb_gutter_condition,cd_first_floor,cd_first_floor_other,cd_vacant_lot_type,cd_vacant_lot_type_other,cd_vacant_lot_parking_surface,cd_vacant_lot_parking_condition,cd_vacant_lot_unpaved_parking_condition,cd_metal_cladding,cd_upper_story,cd_upper_story_type,cd_upper_story_type_other,cd_condition_structure,cd_structure_deficiencies,cd_structure_deficiencies_other,cd_sidewalk_condition,di_trees,di_street_lights,di_wayfinding,di_features,di_features_other,p_access,p_tree_canopy,p_lighting,p_type,p_type_other,does_the_park_include_any_of_the_following_park_types,does_the_park_include_any_of_the_following_park_types_other,p_condition,p_features,p_features_other,photos,photos_caption,photos_url,address_sub_thoroughfare,address_thoroughfare,address_combined,address_suite,address_locality,address_sub_admin_area,address_admin_area,address_postal_code,address_country,address_full,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
4a71b87e-dbff-444f-969d-e49e4864d0c4,2023-06-19 08:30:53 CDT,2023-06-19 08:34:32 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:20 CDT,2023-06-19 09:27:20 CDT,1,,,,42.35885262,-92.76792091,POINT (-92.76792091271552 42.358852618554856),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Fair,Good,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8e9bd356-3b5b-40ad-a8bc-b3de30642725,,https://web.fulcrumapp.com/photos/view?photos=8e9bd356-3b5b-40ad-a8bc-b3de30642725,317,J Avenue,317 J Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,317 J Avenue Grundy Center Grundy County Iowa 50638 United States,,,,,
6e11a21d-b227-4598-b7a0-209ad5516f76,2023-06-19 08:34:36 CDT,2023-06-19 11:07:32 CDT,gdf73278@iastate.edu,bahanson@iastate.edu,2023-06-19 09:27:21 CDT,2023-06-19 11:07:33 CDT,2,,,,42.35863,-92.767733,POINT (-92.767733 42.35863),General Residential Impressions,,,,,,,,,,,,,,Partial or one side only,Good,Partial,Good,Fair,Fair,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fc3003a9-64f8-49f6-b909-ca53eec0985b,79c91099-67f4-420f-8b2c-1c4f11d2c344",",",https://web.fulcrumapp.com/photos/view?photos=fc3003a9-64f8-49f6-b909-ca53eec0985b%2C79c91099-67f4-420f-8b2c-1c4f11d2c344,317,J Avenue,317 J Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,317 J Avenue Grundy Center Grundy County Iowa 50638 United States,,,,,
4a33014a-44c4-4633-a4b5-f1f75031d482,2023-06-19 08:39:47 CDT,2023-06-19 08:42:45 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:21 CDT,2023-06-19 09:27:21 CDT,1,,,,42.35884216,-92.76954305,POINT (-92.76954305495637 42.3588421563111),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Fair,Good,Fair,Good,Partially Obstructed,"Trees,Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048f54a7-96cc-4956-9070-51c74c45ee9c,,https://web.fulcrumapp.com/photos/view?photos=048f54a7-96cc-4956-9070-51c74c45ee9c,407,J Avenue,407 J Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,407 J Avenue Grundy Center Grundy County Iowa 50638 United States,,,,,
b1687bb5-617d-488d-afda-764048dc035d,2023-06-19 08:44:38 CDT,2023-06-19 08:47:40 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:22 CDT,2023-06-19 09:27:22 CDT,1,,,,42.35873422,-92.77068278,POINT (-92.77068278252924 42.35873421845253),General Residential Impressions,,,,,,,,,,,,,,yes,Fair,yes,Good,Poor or Not Observed,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13db5304-017a-4f4a-8b81-f324968dddda,f50471c6-81d8-48e8-885c-4dfb8231c33b",",",https://web.fulcrumapp.com/photos/view?photos=13db5304-017a-4f4a-8b81-f324968dddda%2Cf50471c6-81d8-48e8-885c-4dfb8231c33b,507,J Avenue,507 J Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,507 J Avenue Grundy Center Grundy County Iowa 50638 United States,,,,,
fa347fe3-ce5e-41db-9314-c0a08ad08f20,2023-06-19 08:47:47 CDT,2023-06-19 08:49:55 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:22 CDT,2023-06-19 09:27:22 CDT,1,,,,42.35879488,-92.77095012,POINT (-92.77095012339339 42.35879487948452),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Good,Good,Not Obstructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26a96aef-2a2d-4bfd-9952-1ca8d8422e27,,https://web.fulcrumapp.com/photos/view?photos=26a96aef-2a2d-4bfd-9952-1ca8d8422e27,908,6th Street,908 6th Street,,Grundy Center,Grundy County,Iowa,50638,United States,908 6th Street Grundy Center Grundy County Iowa 50638 United States,,,,,
46d0555b-749d-4563-871c-62b8b636538c,2023-06-19 08:50:36 CDT,2023-06-19 08:56:02 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:23 CDT,2023-06-19 09:27:23 CDT,1,,,,42.35884391,-92.77158691,POINT (-92.77158691093338 42.35884390511215),Residential Neighborhood,Single family detached housing unit,Poor,"Foundation,Gutters,Paint,Porch,Siding,Windows or window frames",,Poor,yes,Fair,Poor,Fair,Poor,Poor,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"d59c77fc-b0fb-4944-8942-de347c9b4196,2ee96058-6059-46eb-97f8-3cf2ee6aff2d,ea0f9afc-6739-4982-96be-fd8ee62781b5",",,",https://web.fulcrumapp.com/photos/view?photos=d59c77fc-b0fb-4944-8942-de347c9b4196%2C2ee96058-6059-46eb-97f8-3cf2ee6aff2d%2Cea0f9afc-6739-4982-96be-fd8ee62781b5,907,6th Street,907 6th Street,,Grundy Center,Grundy County,Iowa,50638,United States,907 6th Street Grundy Center Grundy County Iowa 50638 United States,,,,,
f83278df-52ed-4080-9342-ad435b61337c,2023-06-19 08:54:12 CDT,2023-06-19 08:55:12 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:23 CDT,2023-06-19 09:27:23 CDT,1,,,,42.35853973,-92.77157734,POINT (-92.77157734207844 42.35853972742332),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Good,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d92cf2ae-16e6-4dcd-b31f-fd26959d24de,,https://web.fulcrumapp.com/photos/view?photos=d92cf2ae-16e6-4dcd-b31f-fd26959d24de,602,J Avenue,602 J Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,602 J Avenue Grundy Center Grundy County Iowa 50638 United States,,,,,
5023a0ef-41ef-4a8d-9998-a2193ca285cc,2023-06-19 08:57:44 CDT,2023-06-19 08:59:46 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:24 CDT,2023-06-19 09:27:24 CDT,1,,,,42.35842765,-92.77233726,POINT (-92.77233726399369 42.358427651964405),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Good,Good,Not Obstructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c881ff5a-cfce-4197-9913-1f3182e4df0b,,https://web.fulcrumapp.com/photos/view?photos=c881ff5a-cfce-4197-9913-1f3182e4df0b,1002,7th Street,1002 7th Street,,Grundy Center,Grundy County,Iowa,50638,United States,1002 7th Street Grundy Center Grundy County Iowa 50638 United States,,,,,
5d5e22db-a97b-465b-9e48-33fa2121dcea,2023-06-19 09:03:03 CDT,2023-06-19 09:04:16 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:24 CDT,2023-06-19 09:27:24 CDT,1,,,,42.35886475,-92.77287182,POINT (-92.77287182428553 42.35886475282341),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Fair,Fair,Good,Fair,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b0201170-bd74-4136-a55c-d69ca6bf4c70,,https://web.fulcrumapp.com/photos/view?photos=b0201170-bd74-4136-a55c-d69ca6bf4c70,907,7th Street,907 7th Street,,Grundy Center,Grundy County,Iowa,50638,United States,907 7th Street Grundy Center Grundy County Iowa 50638 United States,,,,,
a6c654c0-0745-4265-820f-e4ea0a8499f9,2023-06-19 09:05:00 CDT,2023-06-19 09:08:06 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-19 09:27:25 CDT,2023-06-19 09:27:25 CDT,1,,,,42.3592069,-92.7725515,POINT (-92.7725515 42.3592069),General Residential Impressions,,,,,,,,,,,,,,yes,Fair,yes,Good,Fair,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"095f0701-8865-4477-bf14-02c15696683a,eb61ca23-93a1-4e78-884f-327abc24de21,f52a0a4f-5407-4b3a-8bf8-0e9c6860792b,35b54efd-b8af-473b-8c33-1e5d565458bf",",,,",https://web.fulcrumapp.com/photos/view?photos=095f0701-8865-4477-bf14-02c15696683a%2Ceb61ca23-93a1-4e78-884f-327abc24de21%2Cf52a0a4f-5407-4b3a-8bf8-0e9c6860792b%2C35b54efd-b8af-473b-8c33-1e5d565458bf,610,I Avenue,610 I Avenue,,Grundy Center,Grundy County,Iowa,50638,United States,610 I Avenue Grundy Center Grundy County Iowa 50638 United States,283,5.847,,,
