fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,latitude,longitude,geometry,record_type,rn_type,rn_condition_structure,rn_poor_features,rn_poor_features_other,rn_condition_lot,rn_junk,rn_sidewalk,ai_gutter,ai_roof,ai_siding,ai_landscape,ai_photo,ai_photo_obstruction,ri_sidewalk,ri_sidewalk_condition,ri_accessibility,ri_trees,ri_street_lights,ri_wayfinding,ri_drainage_type,ri_ditch_condition,ri_curb_gutter_condition,cd_first_floor,cd_first_floor_other,cd_vacant_lot_type,cd_vacant_lot_type_other,cd_vacant_lot_parking_surface,cd_vacant_lot_parking_condition,cd_vacant_lot_unpaved_parking_condition,cd_metal_cladding,cd_upper_story,cd_upper_story_type,cd_upper_story_type_other,cd_condition_structure,cd_structure_deficiencies,cd_structure_deficiencies_other,cd_sidewalk_condition,di_trees,di_street_lights,di_wayfinding,di_features,di_features_other,p_access,p_tree_canopy,p_lighting,p_type,p_type_other,does_the_park_include_any_of_the_following_park_types,does_the_park_include_any_of_the_following_park_types_other,p_condition,p_features,p_features_other,photos,photos_caption,photos_url,address_sub_thoroughfare,address_thoroughfare,address_combined,address_suite,address_locality,address_sub_admin_area,address_admin_area,address_postal_code,address_country,address_full,gps_altitude,gps_horizontal_accuracy,gps_vertical_accuracy,gps_speed,gps_course
268781b2-78fe-4c0b-9369-6a97f5f10eaf,2023-06-20 09:06:40 CDT,2023-06-20 09:07:44 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:00 CDT,2023-06-20 09:17:00 CDT,1,,,,42.47322913,-91.89996541,POINT (-91.89996540690746 42.47322912669094),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Poor,Good,Good,Good,Good,Not Obstructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ec1533bd-38cb-4919-b363-626f965c2d08,,https://web.fulcrumapp.com/photos/view?photos=ec1533bd-38cb-4919-b363-626f965c2d08,516,6th Avenue Northwest,516 6th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,516 6th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
72418239-9a5f-4f06-a98e-9c90a9361198,2023-06-20 09:08:19 CDT,2023-06-20 09:09:13 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:00 CDT,2023-06-20 09:17:00 CDT,1,,,,42.47340171,-91.89996219,POINT (-91.8999621949209 42.473401709573146),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Good,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4507d5d-ebc5-4d6b-934a-13ce7d0ee2b6,,https://web.fulcrumapp.com/photos/view?photos=b4507d5d-ebc5-4d6b-934a-13ce7d0ee2b6,602,6th Avenue Northwest,602 6th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,602 6th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
379a3790-fa26-4436-8bdd-872cb39f6b64,2023-06-20 09:09:33 CDT,2023-06-20 09:10:16 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:01 CDT,2023-06-20 09:17:01 CDT,1,,,,42.4735772,-91.89994057,POINT (-91.89994056640231 42.473577200721834),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Good,Good,Not Obstructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c5a9d5b4-76b9-47d0-914e-aab51705bd29,,https://web.fulcrumapp.com/photos/view?photos=c5a9d5b4-76b9-47d0-914e-aab51705bd29,604,6th Avenue Northwest,604 6th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,604 6th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
883459fc-48e5-40ba-8366-e5002e05445c,2023-06-20 09:10:23 CDT,2023-06-20 09:11:36 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:02 CDT,2023-06-20 09:17:02 CDT,1,,,,42.47344276,-91.90020443,POINT (-91.90020443088123 42.47344275727288),General Residential Impressions,,,,,,,,,,,,,,yes,Good,yes,Good,Good,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b5c30ae0-0622-43fb-8d58-53d5d88dafb3,79b9637f-34a1-471e-9d1a-c892a2497d93",",",https://web.fulcrumapp.com/photos/view?photos=b5c30ae0-0622-43fb-8d58-53d5d88dafb3%2C79b9637f-34a1-471e-9d1a-c892a2497d93,602,6th Avenue Northwest,602 6th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,602 6th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
d6364844-64c6-4d02-9c1a-e715c5af9b87,2023-06-20 09:12:38 CDT,2023-06-20 09:13:41 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:03 CDT,2023-06-20 09:17:03 CDT,1,,,,42.4738096,-91.89993005,POINT (-91.89993004543273 42.4738096007226),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Good,Good,Fair,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d613824-f364-4f1a-80b9-f8142e57ba1c,,https://web.fulcrumapp.com/photos/view?photos=4d613824-f364-4f1a-80b9-f8142e57ba1c,610,6th Avenue Northwest,610 6th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,610 6th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
080cc9e7-23a0-4e94-b514-c0c4c8cc7f87,2023-06-20 09:14:18 CDT,2023-06-20 09:15:47 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:04 CDT,2023-06-20 09:17:04 CDT,1,,,,42.47410211,-91.90083453,POINT (-91.90083453066373 42.47410210735849),General Residential Impressions,,,,,,,,,,,,,,no,,,Good,Poor or Not Observed,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07e9797c-efb3-4156-8c5d-6f962db462ab,50070522-8910-4988-a6a4-c65ca1bf2ebe,e1020e0e-3a23-4d0f-b361-7714afd3a66d",",,",https://web.fulcrumapp.com/photos/view?photos=07e9797c-efb3-4156-8c5d-6f962db462ab%2C50070522-8910-4988-a6a4-c65ca1bf2ebe%2Ce1020e0e-3a23-4d0f-b361-7714afd3a66d,608,7th Street Northwest,608 7th Street Northwest,,Independence,Buchanan County,Iowa,50644,United States,608 7th Street Northwest Independence Buchanan County Iowa 50644 United States,,,,,
be9ac09e-427a-45f8-a04a-f2524dae8bce,2023-06-20 09:16:19 CDT,2023-06-20 09:16:53 CDT,gdf73278@iastate.edu,gdf73278@iastate.edu,2023-06-20 09:17:04 CDT,2023-06-20 09:17:04 CDT,1,,,,42.47368225,-91.90147463,POINT (-91.90147463400636 42.47368224695465),General Residential Impressions,,,,,,,,,,,,,,no,,,Good,Good,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8ac4fc56-7227-4966-892c-ff18f8334aab,,https://web.fulcrumapp.com/photos/view?photos=8ac4fc56-7227-4966-892c-ff18f8334aab,610,7th Avenue Northwest,610 7th Avenue Northwest,,Independence,Buchanan County,Iowa,50644,United States,610 7th Avenue Northwest Independence Buchanan County Iowa 50644 United States,,,,,
e95e88d0-05c9-4173-af45-7d19e6b13675,2023-06-20 08:59:33 CDT,2023-06-20 09:01:37 CDT,cjseeger@iastate.edu,cjseeger@iastate.edu,2023-06-20 09:18:56 CDT,2023-06-20 09:18:56 CDT,1,,,,42.46997123,-91.90022667,POINT (-91.90022666696112 42.46997122957683),General Residential Impressions,,,,,,,,,,,,,,yes,Fair,yes,Fair,Fair,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d226eef2-ba0c-4da2-a452-498b29ef7bcb,,https://web.fulcrumapp.com/photos/view?photos=d226eef2-ba0c-4da2-a452-498b29ef7bcb,200–298,Sixth Ave NW,200–298 Sixth Ave NW,,Independence,Buchanan County,IA,50644,US,200–298 Sixth Ave NW Independence Buchanan County IA 50644 US,,,,,
bdb06cd1-e821-47ee-9ae3-08f63f71fb0c,2023-06-20 09:05:02 CDT,2023-06-20 09:06:17 CDT,cjseeger@iastate.edu,cjseeger@iastate.edu,2023-06-20 09:18:57 CDT,2023-06-20 09:18:57 CDT,1,,,,42.46868407,-91.89954113,POINT (-91.89954113452677 42.468684070627475),General Residential Impressions,,,,,,,,,,,,,,yes,Good,yes,Fair,Good,Good,Curb and gutter,,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87200869-76cc-4892-a0c6-d709902f67df,,https://web.fulcrumapp.com/photos/view?photos=87200869-76cc-4892-a0c6-d709902f67df,506,First St W,506 First St W,,Independence,Buchanan County,IA,50644,US,506 First St W Independence Buchanan County IA 50644 US,,,,,
f1eb0d7a-8cc2-4be6-8fd9-76ccc23e886b,2023-06-20 09:06:34 CDT,2023-06-20 09:07:54 CDT,cjseeger@iastate.edu,cjseeger@iastate.edu,2023-06-20 09:18:58 CDT,2023-06-20 09:18:58 CDT,1,,,,42.4688432,-91.89994729,POINT (-91.89994729338248 42.46884319538664),Residential Neighborhood,Single family detached housing unit,Good,,,Good,no,Good,Poor,Good,Good,Good,Partially Obstructed,Trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65929d51-7904-4991-9883-97dd0f6c34b0,,https://web.fulcrumapp.com/photos/view?photos=65929d51-7904-4991-9883-97dd0f6c34b0,514,First St W,514 First St W,,Independence,Buchanan County,IA,50644,US,514 First St W Independence Buchanan County IA 50644 US,,,,,
